"text","label"
"Al - Zaman : American forces killed Shaikh Abdullah al - Ani , the preacher at the mosque in the town of Qaim , near the Syrian border .","PROPN PUNCT PROPN PUNCT ADJ NOUN VERB PROPN PROPN PROPN PUNCT PROPN PUNCT DET NOUN ADP DET NOUN ADP DET NOUN ADP PROPN PUNCT ADP DET ADJ NOUN PUNCT"
"[ This killing of a respected cleric will be causing us trouble for years to come . ]","PUNCT DET NOUN ADP DET ADJ NOUN AUX AUX VERB PRON NOUN ADP NOUN PART VERB PUNCT PUNCT"
"DPA : Iraqi authorities announced that they had busted up 3 terrorist cells operating in Baghdad .","PROPN PUNCT ADJ NOUN VERB SCONJ PRON AUX VERB ADP NUM ADJ NOUN VERB ADP PROPN PUNCT"
"Two of them were being run by 2 officials of the Ministry of the Interior !","NUM ADP PRON AUX AUX VERB ADP NUM NOUN ADP DET PROPN ADP DET PROPN PUNCT"
"The MoI in Iraq is equivalent to the US FBI , so this would be like having J. Edgar Hoover unwittingly employ at a high level members of the Weathermen bombers back in the 1960s .","DET PROPN ADP PROPN AUX ADJ ADP DET PROPN PROPN PUNCT ADV PRON AUX AUX SCONJ VERB PROPN PROPN PROPN ADV VERB ADP DET ADJ NOUN NOUN ADP DET PROPN NOUN ADV ADP DET NOUN PUNCT"
"The third was being run by the head of an investment firm .","DET ADJ AUX AUX VERB ADP DET NOUN ADP DET NOUN NOUN PUNCT"
"You wonder if he was manipulating the market with his bombing targets .","PRON VERB SCONJ PRON AUX VERB DET NOUN ADP PRON NOUN NOUN PUNCT"
"The cells were operating in the Ghazaliyah and al - Jihad districts of the capital .","DET NOUN AUX VERB ADP DET PROPN CCONJ PROPN PUNCT PROPN NOUN ADP DET NOUN PUNCT"
"Although the announcement was probably made to show progress in identifying and breaking up terror cells , I do n't find the news that the Baathists continue to penetrate the Iraqi government very hopeful .","SCONJ DET NOUN AUX ADV VERB PART VERB NOUN SCONJ VERB CCONJ VERB ADP NOUN NOUN PUNCT PRON AUX PART VERB DET NOUN SCONJ DET PROPN VERB PART VERB DET ADJ NOUN ADV ADJ PUNCT"
"It reminds me too much of the ARVN officers who were secretly working for the other side in Vietnam .","PRON VERB PRON ADV ADV ADP DET PROPN NOUN PRON AUX ADV VERB ADP DET ADJ NOUN ADP PROPN PUNCT"
"Al - Zaman : Guerrillas killed a member of the Kurdistan Democratic Party after kidnapping him in Mosul .","PROPN PUNCT PROPN PUNCT NOUN VERB DET NOUN ADP DET PROPN ADJ PROPN SCONJ VERB PRON ADP PROPN PUNCT"
"The police commander of Ninevah Province announced that bombings had declined 80 percent in Mosul , whereas there had been a big jump in the number of kidnappings .","DET NOUN NOUN ADP PROPN PROPN VERB SCONJ NOUN AUX VERB NUM NOUN ADP PROPN PUNCT SCONJ PRON AUX VERB DET ADJ NOUN ADP DET NOUN ADP NOUN PUNCT"
"On Wednesday guerrillas had kidnapped a cosmetic surgeon and his wife while they were on their way home .","ADP PROPN NOUN AUX VERB DET ADJ NOUN CCONJ PRON NOUN SCONJ PRON AUX ADP PRON NOUN ADV PUNCT"
"In Suwayrah , Kut Province , two car bombs were discovered before they could be detonated .","ADP PROPN PUNCT PROPN PROPN PUNCT NUM NOUN NOUN AUX VERB SCONJ PRON AUX AUX VERB PUNCT"
"( Kut is in southeastern Iraq and has an overwhelmingly Shiite population , who are on the lookout for Baathist saboteurs and willingly turn them in .","PUNCT PROPN AUX ADP ADJ PROPN CCONJ VERB DET ADV ADJ NOUN PUNCT PRON AUX ADP DET NOUN ADP PROPN NOUN CCONJ ADV VERB PRON ADP PUNCT"
"This willingness is the main difference in the number of bombings in the south as opposed to the center - north of the country . )","DET NOUN AUX DET ADJ NOUN ADP DET NOUN ADP NOUN ADP DET NOUN SCONJ VERB ADP DET NOUN PUNCT NOUN ADP DET NOUN PUNCT PUNCT"
"In Baghdad Kadhim Talal Husain , assistant dean at the School of Education at Mustansiriyah University , was assassinated with his driver in the Salikh district .","ADP PROPN PROPN PROPN PROPN PUNCT ADJ NOUN ADP DET PROPN ADP PROPN ADP PROPN PROPN PUNCT AUX VERB ADP PRON NOUN ADP DET PROPN NOUN PUNCT"
"Guerrillas killed an engineer , Asi Ali , from Tikrit .","NOUN VERB DET NOUN PUNCT PROPN PROPN PUNCT ADP PROPN PUNCT"
"They also killed Shaikh Hamid 'Akkab , a clan elder of a branch of the Dulaim tribe in Tikrit .","PRON ADV VERB PROPN PROPN PROPN PUNCT DET NOUN NOUN ADP DET NOUN ADP DET PROPN NOUN ADP PROPN PUNCT"
"His mother was also killed in the attack .","PRON NOUN AUX ADV VERB ADP DET NOUN PUNCT"
"Two other Dulaim leaders have been killed in the past week and a half .","NUM ADJ PROPN NOUN AUX AUX VERB ADP DET ADJ NOUN CCONJ DET NOUN PUNCT"
"Guerrillas near Hawijah launched an attack that left 6 dead , including 4 Iraqi soldiers .","NOUN ADP PROPN VERB DET NOUN PRON VERB NUM ADJ PUNCT VERB NUM ADJ NOUN PUNCT"
"One of them was from the Jubur tribe and was deputy commander of the Hawijah garrison .","NUM ADP PRON AUX ADP DET PROPN NOUN CCONJ AUX NOUN NOUN ADP DET PROPN NOUN PUNCT"
"Two hundred members of the Batawi clan of the Dulaim demonstrated in Baghdad on Friday , protesting the killing of their clan elder , Shaikh Kadhim Sarhid and 4 of his sons , by gunmen wearing Iraqi army uniforms .","NUM NUM NOUN ADP DET PROPN NOUN ADP DET PROPN VERB ADP PROPN ADP PROPN PUNCT VERB DET NOUN ADP PRON NOUN NOUN PUNCT PROPN PROPN PROPN CCONJ NUM ADP PRON NOUN PUNCT ADP NOUN VERB ADJ NOUN NOUN PUNCT"
"( This is a largely Sunni Arab clan , and some Sunni observers have accused Shiite elements in the government of being behind the assassination ; it is more likely the work of Sunni Arab guerrillas punishing the Batawi leaders for cooperating with the Dec. 15 elections . )","PUNCT PRON AUX DET ADV ADJ ADJ NOUN PUNCT CCONJ DET ADJ NOUN AUX VERB ADJ NOUN ADP DET NOUN SCONJ AUX ADP DET NOUN PUNCT PRON AUX ADV ADV DET NOUN ADP ADJ ADJ NOUN VERB DET PROPN NOUN SCONJ VERB ADP DET PROPN NUM NOUN PUNCT PUNCT"
"Al - Zaman : The Iraqi High Electoral Commission on Friday denied a request of the Debaathification Commission to exclude 51 individuals from running on party lists in the Dec. 15 elections on grounds of having been sufficiently involved in Baath activities to warrant their being excluded from civil office .","PROPN PUNCT PROPN PUNCT DET ADJ ADJ ADJ PROPN ADP PROPN VERB DET NOUN ADP DET PROPN PROPN PART VERB NUM NOUN SCONJ VERB ADP NOUN NOUN ADP DET PROPN NUM NOUN ADP NOUN SCONJ AUX AUX ADV ADJ ADP PROPN NOUN PART VERB PRON AUX VERB ADP ADJ NOUN PUNCT"
"The Commission said it had no legal grounds for such an exclusion .","DET NOUN VERB PRON VERB DET ADJ NOUN ADP DET DET NOUN PUNCT"
