"text","label"
"Al - Zaman : American forces killed Shaikh Abdullah al - Ani , the preacher at the mosque in the town of Qaim , near the Syrian border .","root punct flat punct amod nsubj parataxis obj flat flat punct flat punct det appos case det nmod case det nmod case nmod punct case det amod nmod punct"
"[ This killing of a respected cleric will be causing us trouble for years to come . ]","punct det nsubj case det amod nmod aux aux root iobj obj case obl mark acl punct punct"
"DPA : Iraqi authorities announced that they had busted up 3 terrorist cells operating in Baghdad .","root punct amod nsubj parataxis mark nsubj aux ccomp compound nummod amod obj acl case obl punct"
"Two of them were being run by 2 officials of the Ministry of the Interior !","nsubj case nmod aux aux root case nummod obl case det nmod case det nmod punct"
"The MoI in Iraq is equivalent to the US FBI , so this would be like having J. Edgar Hoover unwittingly employ at a high level members of the Weathermen bombers back in the 1960s .","det nsubj case nmod cop root case det compound obl punct advmod nsubj aux cop mark parataxis obj flat flat advmod xcomp case det amod obl obj case det compound nmod advmod case det obl punct"
"The third was being run by the head of an investment firm .","det nsubj aux aux root case det obl case det compound nmod punct"
"You wonder if he was manipulating the market with his bombing targets .","nsubj root mark nsubj aux ccomp det obj case nmod compound obl punct"
"The cells were operating in the Ghazaliyah and al - Jihad districts of the capital .","det nsubj aux root case det compound cc compound punct conj obl case det nmod punct"
"Although the announcement was probably made to show progress in identifying and breaking up terror cells , I do n't find the news that the Baathists continue to penetrate the Iraqi government very hopeful .","mark det nsubj aux advmod advcl mark xcomp obj mark acl cc conj compound compound obj punct nsubj aux advmod root det obj mark det nsubj acl mark xcomp det amod obj advmod xcomp punct"
"It reminds me too much of the ARVN officers who were secretly working for the other side in Vietnam .","nsubj root iobj advmod advmod case det compound obl nsubj aux advmod acl case det amod obl case obl punct"
"Al - Zaman : Guerrillas killed a member of the Kurdistan Democratic Party after kidnapping him in Mosul .","root punct flat punct nsubj parataxis det obj case det compound amod nmod mark advcl obj case obl punct"
"The police commander of Ninevah Province announced that bombings had declined 80 percent in Mosul , whereas there had been a big jump in the number of kidnappings .","det compound nsubj case compound nmod root mark nsubj aux ccomp nummod obj case obl punct mark expl aux advcl det amod nsubj case det nmod case nmod punct"
"On Wednesday guerrillas had kidnapped a cosmetic surgeon and his wife while they were on their way home .","case obl nsubj aux root det amod obj cc nmod conj mark nsubj cop case nmod advcl advmod punct"
"In Suwayrah , Kut Province , two car bombs were discovered before they could be detonated .","case obl punct compound appos punct nummod compound nsubj aux root mark nsubj aux aux advcl punct"
"( Kut is in southeastern Iraq and has an overwhelmingly Shiite population , who are on the lookout for Baathist saboteurs and willingly turn them in .","punct nsubj cop case amod root cc conj det advmod amod obj punct nsubj cop case det acl case compound nmod cc advmod conj obj compound punct"
"This willingness is the main difference in the number of bombings in the south as opposed to the center - north of the country . )","det nsubj cop det amod root case det nmod case nmod case det nmod case fixed fixed det compound punct nmod case det nmod punct punct"
"In Baghdad Kadhim Talal Husain , assistant dean at the School of Education at Mustansiriyah University , was assassinated with his driver in the Salikh district .","case obl nsubj flat flat punct amod appos case det nmod case nmod case compound nmod punct aux root case nmod obl case det compound obl punct"
"Guerrillas killed an engineer , Asi Ali , from Tikrit .","nsubj root det obj punct appos flat punct case nmod punct"
"They also killed Shaikh Hamid 'Akkab , a clan elder of a branch of the Dulaim tribe in Tikrit .","nsubj advmod root obj flat flat punct det compound appos case det nmod case det compound nmod case obl punct"
"His mother was also killed in the attack .","nmod nsubj aux advmod root case det obl punct"
"Two other Dulaim leaders have been killed in the past week and a half .","nummod amod compound nsubj aux aux root case det amod obl cc det conj punct"
"Guerrillas near Hawijah launched an attack that left 6 dead , including 4 Iraqi soldiers .","nsubj case nmod root det obj nsubj acl obj xcomp punct case nummod amod nmod punct"
"One of them was from the Jubur tribe and was deputy commander of the Hawijah garrison .","nsubj case nmod cop case det root flat cc cop compound conj case det compound nmod punct"
"Two hundred members of the Batawi clan of the Dulaim demonstrated in Baghdad on Friday , protesting the killing of their clan elder , Shaikh Kadhim Sarhid and 4 of his sons , by gunmen wearing Iraqi army uniforms .","compound nummod nsubj case det nmod flat case det nmod root case obl case obl punct advcl det obj case nmod compound nmod punct appos flat flat cc conj case nmod nmod punct case nmod acl amod compound obj punct"
"( This is a largely Sunni Arab clan , and some Sunni observers have accused Shiite elements in the government of being behind the assassination ; it is more likely the work of Sunni Arab guerrillas punishing the Batawi leaders for cooperating with the Dec. 15 elections . )","punct nsubj cop det advmod amod amod root punct cc det amod nsubj aux conj amod obj case det nmod mark cop case det advcl punct nsubj cop advmod advmod det parataxis case amod amod nmod acl det obj flat mark acl case det compound nummod obl punct punct"
"Al - Zaman : The Iraqi High Electoral Commission on Friday denied a request of the Debaathification Commission to exclude 51 individuals from running on party lists in the Dec. 15 elections on grounds of having been sufficiently involved in Baath activities to warrant their being excluded from civil office .","root punct flat punct det amod amod amod nsubj case obl parataxis det obj case det compound nmod mark acl nummod obj mark advcl case compound obl case det compound nummod nmod case obl mark aux cop advmod acl case compound obl mark advcl nsubj aux ccomp case amod obl punct"
"The Commission said it had no legal grounds for such an exclusion .","det nsubj root nsubj ccomp det amod obj case det det nmod punct"
"This item is a small one and easily missed .","det nsubj cop det amod root cc advmod conj punct"
"But in my view it is highly significant .","cc case nmod obl nsubj cop advmod root punct"
"The Debaathification Commission had been pushed by Ahmad Chalabi and his Iraqi National Congress very hard , and had pushed many Sunni Arabs into the arms of the guerrillas .","det compound nsubj aux aux root case obl flat cc nmod amod amod conj advmod advmod punct cc aux conj amod amod obj case det obl case det nmod punct"
"Chalabi has been increasingly marginalized within Iraq , however , despite his ties of clientelage with Washington and Tehran .","nsubj aux aux advmod root case obl punct advmod punct case nmod obl case nmod case nmod cc conj punct"
"He is no longer in the dominant Shiite list , the United Iraqi Alliance , and wo n't have many seats in the new parliament .","nsubj cop advmod advmod case det amod amod root punct det amod amod appos punct cc aux advmod conj amod obj case det amod nmod punct"
"Some 2,000 junior officers of the old Baath army have been recalled to duty in recent months , something Chalabi would have blocked if he could have .","det nummod amod nsubj case det amod compound nmod aux aux root case obl case amod obl punct obl nsubj aux aux acl mark nsubj aux advcl punct"
"Now the Electoral Commission is refusing to punish people for mere past Baath Party membership .","advmod det amod nsubj aux root mark xcomp obj case amod amod compound compound obl punct"
"The situation in Iraq is only going to get better this way .","det nsubj case nmod aux advmod root mark xcomp xcomp det obl punct"
"If someone committed a crime against humanity , prosecute the person .","mark nsubj advcl det obj case nmod punct root det obj punct"
"If he or she did not , then they should have all the same rights as other Iraqis .","mark nsubj cc conj advcl advmod punct advmod nsubj aux root det det amod obj case amod nmod punct"
"Al - Sharq al - Awsat reports that a key eyewitness in the trial of Saddam Hussein for a 1982 massacre at Dujail has died .","nsubj punct flat flat punct flat root mark det amod nsubj case det nmod case nmod flat case det nummod nmod case nmod aux ccomp punct"
"A team from the court managed to take his deposition before he died .","det nsubj case det nmod root mark xcomp nmod obj mark nsubj advcl punct"
"The trial begins again Nov. 28 .","det nsubj root advmod obl nummod punct"
"In Baghdad the fighting still continues in several areas , mostly in Sadr city and Adhamiya .","case obl det nsubj advmod root case amod obl punct advmod case compound obl cc conj punct"
"Baghdadis do n't venture much out of their neighbourhoods any more , you never know where you might get stuck .","nsubj aux advmod root advmod case case nmod obl advmod advmod punct nsubj advmod ccomp advmod nsubj aux ccomp xcomp punct"
"There has been talk that the night curfew might be implemented again .","expl aux root nsubj mark det compound nsubj aux aux acl advmod punct"
"My neighbourhood has been surrounded by American troops for three days now , helicopters have been circling over our heads non-stop .","nmod nsubj aux aux root case amod obl case nummod obl advmod punct nsubj aux aux parataxis case nmod obl advmod punct"
"Fedayeen are now visible on the street and they have become bolder than ever .","nsubj cop advmod root case det obl cc nsubj aux conj xcomp case obl punct"
"Yesterday there were tens of them putting road blocks on our street and setting up mortars , they only come out in the open when Americans leave the area , then they start firing mortars indiscriminately and shooting their AK - 47's in the air .","obl expl root nsubj case nmod acl compound obj case nmod obl cc conj compound obj punct nsubj advmod parataxis advmod case det obl advmod nsubj advcl det obj punct advmod nsubj parataxis xcomp obj advmod cc conj nmod compound punct obj case det obl punct"
