"text","label"
"Les commotions cérébrales sont devenu si courantes dans ce sport qu' on les considére presque comme la routine .","det nsubj amod aux root advmod xcomp case det obl mark nsubj obj ccomp advmod case det xcomp punct"
"L' œuvre est située dans la galerie de les batailles , dans le château de Versailles .","det nsubj cop root case det obl case det nmod punct case det obl case nmod punct"
"Le comportement de la Turquie vis-à-vis de le problème palestinien a fait qu' elle n' est plus en odeur de sainteté auprès de la communauté juive en générale , et américaine en particulier .","det nsubj case det nmod advmod case det obl amod aux root mark nsubj advmod cop advmod case ccomp case nmod advmod case det obl amod advmod fixed punct cc conj advmod fixed punct"
"Toutefois , les filles adorent les desserts .","advmod punct det nsubj root det obj punct"
"Ismene entre et annonce que c' est Farnace qui a mis le feu à la flotte romaine .","nsubj root cc conj mark expl cop ccomp nsubj aux advcl det obj case det obl amod punct"
"je reviendrais avec plaisir !","nsubj root case obl punct"
"Les forfaits comprennent le transport en car Grand Tourisme de les différents lieux de départs proposés autour de Lyon , le forfait de ski sur le domaine cité , un en-cas petit-déjeuner servi à votre arrivée en station et le service d' un accompagnateur salarié assurant la logistique de les départs et de les retours .","det nsubj root det obj case nmod amod nmod case det amod nmod case nmod acl advmod case obl punct det conj case nmod case det nmod acl punct det conj nmod acl case det obl case nmod cc det conj case det nmod amod acl det obj case det nmod cc case det conj punct"
"Il prévient que de telles agressions sont "" susceptibles d' entraîner des poursuites judiciaires "" .","nsubj root mark det amod nsubj cop punct ccomp mark xcomp det obj amod punct punct"
"Ils tiraient à balles réelles sur la foule .","nsubj root case obl amod case det obl punct"
"Le château est ensuite vendu plusieurs fois ;","det nsubj aux advmod root det obl punct"
"En effet , la biréfringence n' étant pas visible , elle n' est pas prépondérante sur le pouvoir rotatoire .","advmod fixed punct det nsubj advmod cop advmod advcl punct nsubj advmod cop advmod root case det obl amod punct"
"Le point final de la plate-forme de distribution serait basé en Autriche à Baumgarten pour rejoindre ensuite le réseau d' Europe centrale et de l' ouest .","det nsubj amod case det nmod case nmod cop root case obl case obl mark advcl advmod det obj case nmod amod cc case det conj punct"
"L' information génétique est codée sous forme d' ADN .","det nsubj amod aux root case obl case nmod punct"
