"text","label"
"Sehr gute Beratung , schnelle Behebung der Probleme , so stelle ich mir Kundenservice vor .","advmod amod root punct amod conj det nmod punct advmod parataxis nsubj obl obj compound punct"
"Die Kosten sind definitiv auch in dem Rahmen .","det nsubj root advmod advmod case det obl punct"
"Nette Gespräche , klasse Ergebnis","amod root punct amod conj"
"Ich bin seit längerer Zeit zu der Behandlung verschiedenster "" Leiden "" in der Physiotherapieraxis "" Gaby Montag "" in dem Vital Center und kann ausschließlich Positives berichten !","nsubj root case amod obl case det obl amod punct nmod punct case det obl punct appos flat punct case det nmod flat cc aux advmod obj conj punct"
"Ob bei der Terminvergabe , den Behandlungsräumen oder den individuell zugeschnittenen Trainingsplänen sind alle Mitarbeiter äußerst kompetent und flexibel .","cc case det nmod punct det conj cc det advmod amod conj cop det nsubj advmod root cc conj punct"
"Sauberkeit , Ordnung und Freundlichkeit brauche ich hier nicht zu erwähnen , denn das gehört für mich zu dem Standard , der aber auch noch übertroffen wird .","obj punct conj cc conj root nsubj advmod advmod mark acl punct mark nsubj advcl case obl case det obl punct nsubj advmod advmod advmod acl aux punct"
"Physiotherapie ist zwar oftmals auch anstrengend , aber in dieser Umgebeung freut man sich auf jede Minute Behandlung .","nsubj cop advmod advmod advmod root punct cc case det obl conj nsubj obj case det obl nmod punct"
"Das nächste mal rief ich extra vorher an , um einen Termin zu vereinbaren , damit der Konditor auch Zeit für uns hätte .","det amod obl root nsubj advmod advmod compound punct mark det obj mark advcl punct mark det nsubj advmod obj case obl advcl punct"
"Eine Stunde später gab man uns dann endlich einen Tisch , der allerdings noch nicht einmal abgeräumt war .","det obl advmod root nsubj obl advmod advmod det obj punct nsubj advmod advmod advmod advmod acl aux punct"
"Die Bedienung verschwand sofort wieder und kam auch erstmal nicht mehr .","det nsubj root advmod advmod cc conj advmod advmod advmod advmod punct"
"nach fast einer weiteren Stunde , nachdem sich mein Verlobter mehrmals erkundigt und zuletzt sogar beschwert hatte kam endlich der Konditor .","case advmod det amod obl punct mark obj det nsubj advmod advcl cc advmod advmod conj aux root advmod det nsubj punct"
"Jemand unfreundlicheres ist mir in meinem ganzen Leben noch nicht begegnet !","nsubj amod aux obl case det amod obl advmod advmod root punct"
"Das war der Punkt an dem wir hätten gehen sollen .","nsubj cop det root case obl nsubj aux acl aux punct"
"Aber da es mittlerweile nur noch 3 Wochen bis zu der Hochzeit waren und wir keinen anderen Konditor wussten , blieben wir .","cc mark nsubj advmod advmod advmod nummod advcl dep case det nmod cop cc nsubj det det obj conj punct root nsubj punct"
"Das einzig positive was man sagen kann war das sie geschmeckt hat , aber rein optisch hätte es meine kleine Schwester wirklich besser gemacht !","det amod nsubj obj nsubj acl aux root mark nsubj ccomp aux punct cc advmod advmod aux obj det amod nsubj advmod advmod conj punct"
"Für eine 300 Euro teuere Torte von einem angeblichen Meisterkonditor war das einfach nur furchtbar -- die gelieferte Torte hatte keinerlei Ähnlichkeit mit dem Bild der Torte die wir haben wollten ( welches wir ihm ja überlassen hatten ) .","case det nummod amod flat obl case det amod nmod cop nsubj advmod advmod root punct det amod nsubj parataxis det obj case det nmod det nmod obj nsubj aux acl punct obj nsubj obl advmod acl aux punct punct"
"Unser Fazit : Nie wieder Café Bleich !","det root punct advmod advmod appos flat punct"
"War das erste Mal mit Ueberzeugung in dem Waschsalon , die ich vorher immer gemieden habe , da ein anderer Laden in Bremerhaven nie wirklich einladend wirkte .","root det amod obl case obl case det obl punct obj nsubj advmod advmod acl aux punct mark det det nsubj case nmod advmod advmod xcomp advcl punct"
"Ich wurde überzeugt , dass Waschsalons auch einfach prima , hell , sauber und freundlich sein können .","nsubj aux root punct mark nsubj advmod advmod ccomp punct conj punct conj cc conj cop aux punct"
"Dienstleistung und Beratung wird wirklich gross geschrieben :-)","nsubj cc conj aux advmod xcomp root punct"
"Fachlich kompetent , sehr gute Beratung und ein freundliches Team .","advmod root punct advmod amod parataxis cc det amod conj punct"
"Beiden Zahnärzten verdanke ich einen neuen Biss und dadurch endlich keine Rückenschmerzen mehr .","det obl root nsubj det amod obj cc advmod advmod det conj advmod punct"
"Vielen Dank !","det root punct"
"Gutbürgerliche Küche von einem Koch der sein Handwerk noch versteht","amod root case det nmod nsubj det obj advmod acl"
"Der Firma liegt genau an dem Ortseingang .","det nsubj root advmod case det obl punct"
"Ist einer der besten Restaurationsbetriebe den ich finden konnte .","root nsubj det amod nmod obj nsubj acl aux punct"
"Top Qualität","amod root"
"Hier gibt es die beste Wurst in ganz Thüringen ! !","advmod root nsubj det amod obj case amod nmod punct punct"
"Wir sind seit vielen Jahren Mandanten der Rechtsanwälte Ruland und wurden immer optimal in bei unseren Probleme und Anliegen unterstützt .","nsubj cop case det nmod root det nmod appos cc aux advmod advmod dep case det obl cc conj conj punct"
"Nett , freundlich und sehr kompetent .","root punct conj cc advmod conj punct"
"Fühlte mich sehr gut aufgehoben .","root obj advmod advmod amod punct"
"Nicht nur anmaßend und menschenverachtend , sondern auch arrogant und absolut nicht medizinsch und fachlich ! !","advmod advmod root cc conj punct cc advmod conj cc advmod advmod conj cc conj punct punct"
"Achtung da macht wohl jemand auf die Kosten der Patienten seine ganz eigene Politik oder besser gesagt Show ! !","discourse advmod root advmod nsubj case det obl det nmod det advmod amod obj cc advmod parataxis conj punct punct"
"! War ein wenig verschreckt durch die eine schlechte Bewertung hier auf dieser Seite , traute mich allerdings trotzdem dahin , mitsamt Freundin zu dem normalen Haareschneiden .","punct cop det advmod root case det det amod nmod advmod case det nmod punct conj obj advmod advmod advmod punct case obl case det amod obl punct"
"Der Friseursalon ist mit dem Bus sehr gut zu erreichen .","det nsubj root case det obl advmod advmod mark acl punct"
"Terminfestlegung an dem Vortag war kein Problem ; keine Wartezeiten .","nsubj case det nmod cop det root punct det appos punct"
"Die Mitarbeiter waren sehr freundlich und es herrschte eine nette Stimmung in dem ganzen Salon .","det nsubj cop advmod root cc nsubj conj det amod obj case det amod obl punct"
"Das Haareschneiden war auch schnell erledigt -- in dem Anschluss gab es sogar einen Kaffee --","det nsubj aux advmod advmod root punct case det obl parataxis nsubj advmod det obj punct"
"Die Arbeiten von Team VK sind nicht nur schön , sondern sind auch effektiv und führen zu dem Erfolg .","det nsubj case nmod flat cop advmod advmod root punct cc cop advmod conj cc conj case det obl punct"
"Zielorientiert .","root punct"
"So profitiert nicht nur die Agentur , sondern in erster Linie der Kunde .","advmod root cc advmod det nsubj punct cc case amod conj det conj punct"
"Hier ist Marketing eine Investition die sich auch auszahlt !","advmod cop nsubj det root nsubj obj advmod acl punct"
"War jetzt in fast allen Tabledance Clubs in München wobei ich sagen muss , dass der neu eröffnete Laden Blackboxxx für Männer der mit Abstand beste Laden ist .","root advmod case advmod det obl flat case nmod advmod nsubj conj aux punct mark det advmod amod nsubj appos case nmod det case nmod amod ccomp cop punct"
"Die Preise sind ok und die Frauen mindestens genau so hübsch wie in dem boobs , wo die Preise leider sehr unverschämt sind ...","det nsubj cop root cc det nsubj advmod advmod advmod conj cc case det advcl punct advmod det nsubj advmod advmod acl cop punct"
"Die Stuttgarter Volksbank Homepage ist übersichtlich und von dem Design erste Klasse .","det amod nsubj flat cop root cc case det nmod amod conj punct"
"Finden kann man wirklich alles was man sucht .","root aux nsubj advmod obj obj nsubj acl punct"
"Sollte man was üer die Navigation nicht finden , so läßt sich ein bestimmtes Bankprodukt oder Information schnell über die Suchfunktion finden .","aux nsubj obj case det obl advmod root punct mark advcl obj det amod nsubj cc conj advmod case det obl xcomp punct"
"Eine echt gelungene Seite .","det advmod amod root punct"
"Ich war schon in vielen Cafés in aller Herren Länder , aber mit diesen herrlichen Torten und Kuchen muss sich das Café an dem Rosengarten vor keinem davon verstecken .","nsubj root advmod case det obl case det nmod nmod punct cc case det amod obl cc conj aux obj det nsubj case det nmod case obl advmod conj punct"
"Von aussen unscheinbar , schlicht und nicht in der besten Lage , aber die Kuchen und Torten sind dafür umso scheinbarer und leckerer .","case advmod root punct conj cc advmod case det amod conj punct cc det nsubj cc conj cop advmod advmod conj cc conj punct"
"Das Sushi schmeckt immer hervorragend .","det nsubj root advmod xcomp punct"
"Unbedingt mal ausprobieren ! ! ! !","advmod advmod root punct punct punct punct"
