"text0","text1","label"
"Wie lange dauerte es, um die Twin Towers zu bauen?","11.0 Jahr","1"
"Wie lange dauerte es, um die Twin Towers zu bauen?","307.7 Meile","0"
"Wer singt love you like there's no tomorrow","Chris Young","1"
"Wer singt love you like there's no tomorrow","Jonathan Taylor Thomas","0"
"wann haben es die lakers das leztze mal in die playoffs geschafft","2013","1"
"wann haben es die lakers das leztze mal in die playoffs geschafft","2007","0"
"wie viele Folgen in einer Staffel von fremden Dingen","3.0","1"
"wie viele Folgen in einer Staffel von fremden Dingen","4.0","0"
"wer singt  i hear you knocking but you can't come in","Dave Edmunds","1"
"wer singt  i hear you knocking but you can't come in","Flughafen Seattle-Tacoma","0"
"Wer zeigte als erster die Show ""The Voice""?","John de Mol","1"
"Wer zeigte als erster die Show ""The Voice""?","Loudon Wainwright III","0"
"Wann begann und endete der Wilde Westen","1865","1"
"Wann begann und endete der Wilde Westen","1926-04-21","0"
"Wann haben die Widder im Super Bowl gespielt?","1999","1"
"Wann haben die Widder im Super Bowl gespielt?","2016-09","0"
"Wer hat das Lied gesungen, oh was für eine Nacht","The Four Seasons","1"
"Wer hat das Lied gesungen, oh was für eine Nacht","Jeanne Calment","0"
"Wer sang ""i want to be with you everywhere""","Fleetwood Mac","1"
"Wer sang ""i want to be with you everywhere""","The Four Seasons","0"
"Wer spielte Maria Magdalena in Jesus Christ Superstar","Yvonne Elliman","1"
"Wer spielte Maria Magdalena in Jesus Christ Superstar","Chad Danforth","0"
"Wer schrieb die Klagelieder Jeremias in der Bibel?","Jeremia","1"
"Wer schrieb die Klagelieder Jeremias in der Bibel?","Bill Clinton","0"
"Wer hat die meisten Instagramm Followers","Cristiano Ronaldo","1"
"Wer hat die meisten Instagramm Followers","Dickdarm","0"
"In welcher Folge von The Office passiert der Roast","Stressbewältigung","1"
"In welcher Folge von The Office passiert der Roast","Franklin Delano Roosevelt","0"
"Wer produziert weltweit die meisten Pistazien","Iran","1"
"Wer produziert weltweit die meisten Pistazien","Hard Rock Cafe","0"
"Wie heißt das Stadion der arizona cardinals","University of Phoenix Stadium","1"
"Wie heißt das Stadion der arizona cardinals","Lower Merion High School","0"
"Wer singt i've never been to me","de_DE","1"
"Wer singt i've never been to me","Wladimir Iljitsch Lenin","0"
"über wie viele staaten erstrecken sich die rocky mountains","6.0","1"
"über wie viele staaten erstrecken sich die rocky mountains","2.0","0"
"Wer sang 'Let's Go All The Way'?","Sly Fox","1"
"Wer sang 'Let's Go All The Way'?","Los Angeles Rams","0"
"wer hat beim America's Got Talent im 2015 gewonnen","Paul Zerdin","1"
"wer hat beim America's Got Talent im 2015 gewonnen","Pennsylvania","0"
"Was ist die Altergrenze für Girl Scouts","5.0 18.0 Jahr","1"
"Was ist die Altergrenze für Girl Scouts","69.0 Fahrenheit-Skala","0"
"Wann ist das letzte Mal,  die steelers die Panther gespielt hat","2019-08-29","1"
"Wann ist das letzte Mal,  die steelers die Panther gespielt hat","1940-10-21","0"
"Wann haben die Jungen das letzte Mal die Weltmeisterschaft gewonnen?","2016","1"
"Wann haben die Jungen das letzte Mal die Weltmeisterschaft gewonnen?","2015","0"
"wann wurde michael jordan in die nba gedraftet","1984","1"
"wann wurde michael jordan in die nba gedraftet","2021-01-03","0"
"wann wurde das letzte mal die Verfassung geändert","1992","1"
"wann wurde das letzte mal die Verfassung geändert","1974","0"
"Wer waren die Darsteller in Singing in the Rain?","Donald O’Connor","1"
"Wer waren die Darsteller in Singing in the Rain?","Octavia Spencer","0"
"Was ist die Durchschnittslänge eines Güterzugwagens?","55.0 67.0 Englischer Fuß","1"
"Was ist die Durchschnittslänge eines Güterzugwagens?","13.0 Prozent","0"
"Wer singt 'I'll make a Man out of you'","Donny Osmond","1"
"Wer singt 'I'll make a Man out of you'","Vereinigte Staaten","0"
"Wann hat Tom Brady seinen ersten Ring gewonnen","2002","1"
"Wann hat Tom Brady seinen ersten Ring gewonnen","1984-01-20","0"
"Wo wird der Weltcup stattfinden?","Katar","1"
"Wo wird der Weltcup stattfinden?","Don McCormack","0"
"was sind die namen der tweenies darsteller","Judy","1"
"was sind die namen der tweenies darsteller","Wings","0"
"Wer spielt black panther in dem Film black panther","Chadwick Boseman","1"
"Wer spielt black panther in dem Film black panther","Los Angeles","0"
"Welche Nummer hat der Kanal CW bei DirecTV?","385.0","1"
"Welche Nummer hat der Kanal CW bei DirecTV?","10889.0","0"
"Wann endet die unglaubliche Welt des Kaugummis?","2019-06-24","1"
"Wann endet die unglaubliche Welt des Kaugummis?","1971","0"
"Wer hat what is love baby don't hurt me gesungen","Haddaway","1"
"Wer hat what is love baby don't hurt me gesungen","Jay Leno","0"
"Was ist der Wirkstoff in allen von der FDA zugelassenen Handdesinfektionsmitteln?","Ethanol","1"
"Was ist der Wirkstoff in allen von der FDA zugelassenen Handdesinfektionsmitteln?","The Supremes","0"
"wann erschien genie in a bottle","1999","1"
"wann erschien genie in a bottle","1997-03-10","0"
"wer spielte im film Die Brücke am Kwai mit","William Holden","1"
"wer spielte im film Die Brücke am Kwai mit","Zachary Dean Herron","0"
"Wie hießen die Ritter der Tafelrunde","Gareth","1"
"Wie hießen die Ritter der Tafelrunde","Biomagnifikation","0"
"wer singt lord it's hard to be humble","Mac Davis","1"
"wer singt lord it's hard to be humble","Geoffrey Chaucer","0"
"wer sang das lied take me to church","Hozier","1"
"wer sang das lied take me to church","L. Ron Hubbard","0"
"Wer war der älteste Mann, der jemals gelebt hat","Jeanne Calment","1"
"Wer war der älteste Mann, der jemals gelebt hat","Schwefel","0"
"wie oft hat australien den cricket world cup gewonnen","5.0","1"
"wie oft hat australien den cricket world cup gewonnen","17.0","0"
"Wer sang, ich werde dich immer lieben, erster Dolly Parton oder Whitney","Porter Wagoner","1"
"Wer sang, ich werde dich immer lieben, erster Dolly Parton oder Whitney","Schwergewicht","0"
"Wie hieß der erste Präsident von Amerika","George Washington","1"
