"text","label"
"Al - Zaman : American forces killed Shaikh Abdullah al - Ani , the preacher at the mosque in the town of Qaim , near the Syrian border .","-1 1 -2 3 1 1 -6 -1 -1 -2 1 -4 2 1 -7 2 1 -3 2 1 -3 1 -2 4 3 2 1 -7 -28"
"[ This killing of a respected cleric will be causing us trouble for years to come . ]","9 1 7 3 2 1 -4 2 1 -10 -1 -2 1 -4 1 -2 -7 -8"
"DPA : Iraqi authorities announced that they had busted up 3 terrorist cells operating in Baghdad .","-1 3 1 1 -4 3 2 1 -4 -1 2 1 -4 -1 1 -2 -16"
"Two of them were being run by 2 officials of the Ministry of the Interior !","5 1 -2 2 1 -6 2 1 -3 2 1 -3 2 1 -3 -10"
"The MoI in Iraq is equivalent to the US FBI , so this would be like having J. Edgar Hoover unwittingly employ at a high level members of the Weathermen bombers back in the 1960s .","1 4 1 -2 1 -6 3 2 1 -4 6 5 4 3 2 1 -11 -1 -1 -2 1 -5 3 2 1 -4 -5 3 2 1 -4 3 2 1 -13 -30"
"The third was being run by the head of an investment firm .","1 3 2 1 -5 2 1 -3 3 2 1 -4 -8"
"You wonder if he was manipulating the market with his bombing targets .","1 -2 3 2 1 -4 1 -2 3 2 1 -6 -11"
"The cells were operating in the Ghazaliyah and al - Jihad districts of the capital .","1 2 1 -4 7 6 5 3 2 -1 -4 -8 2 1 -3 -12"
"Although the announcement was probably made to show progress in identifying and breaking up terror cells , I do n't find the news that the Baathists continue to penetrate the Iraqi government very hopeful .","5 1 3 2 1 15 1 -2 -1 1 -2 1 -2 -1 1 -5 -11 3 2 1 -21 1 -2 3 1 1 -4 1 -2 2 1 -3 1 -13 -14"
"It reminds me too much of the ARVN officers who were secretly working for the other side in Vietnam .","1 -2 -1 1 -3 3 2 1 -7 3 2 1 -4 3 2 1 -4 1 -6 -18"
"Al - Zaman : Guerrillas killed a member of the Kurdistan Democratic Party after kidnapping him in Mosul .","-1 1 -2 2 1 -5 1 -2 4 3 2 1 -5 1 -9 -1 1 -3 -18"
"The police commander of Ninevah Province announced that bombings had declined 80 percent in Mosul , whereas there had been a big jump in the number of kidnappings .","2 1 4 2 1 -3 -7 3 2 1 -4 1 -2 1 -4 4 3 2 1 -9 2 1 -3 2 1 -3 1 -2 -22"
"On Wednesday guerrillas had kidnapped a cosmetic surgeon and his wife while they were on their way home .","1 3 2 1 -5 2 1 -3 2 1 -3 5 4 3 2 1 -12 -1 -14"
"In Suwayrah , Kut Province , two car bombs were discovered before they could be detonated .","1 9 2 1 -3 -4 2 1 2 1 -11 4 3 2 1 -5 -6"
"( Kut is in southeastern Iraq and has an overwhelmingly Shiite population , who are on the lookout for Baathist saboteurs and willingly turn them in .","5 4 3 2 1 -6 1 -2 3 1 1 -4 5 4 3 2 1 -6 2 1 -3 2 1 -6 -1 -2 -21"
"This willingness is the main difference in the number of bombings in the south as opposed to the center - north of the country . )","1 4 3 2 1 -6 2 1 -3 1 -2 2 1 -3 6 -1 -2 3 2 -1 -7 2 1 -3 -19 -20"
"In Baghdad Kadhim Talal Husain , assistant dean at the School of Education at Mustansiriyah University , was assassinated with his driver in the Salikh district .","1 17 16 -1 -2 2 1 -5 2 1 -3 1 -2 2 1 -5 -14 1 -19 2 1 -3 3 2 1 -7 -8"
"Guerrillas killed an engineer , Asi Ali , from Tikrit .","1 -2 1 -2 1 -2 -1 2 1 -6 -9"
"They also killed Shaikh Hamid 'Akkab , a clan elder of a branch of the Dulaim tribe in Tikrit .","2 1 -3 -1 -1 -2 3 2 1 -6 2 1 -3 3 2 1 -4 1 -16 -17"
"His mother was also killed in the attack .","1 3 2 1 -5 2 1 -3 -4"
"Two other Dulaim leaders have been killed in the past week and a half .","3 2 1 3 2 1 -7 3 2 1 -4 2 1 -3 -8"
"Guerrillas near Hawijah launched an attack that left 6 dead , including 4 Iraqi soldiers .","3 1 -2 -4 1 -2 1 -2 -1 -2 -1 3 2 1 -6 -12"
"One of them was from the Jubur tribe and was deputy commander of the Hawijah garrison .","6 1 -2 3 2 1 -7 -1 3 2 1 -5 3 2 1 -4 -10"
"Two hundred members of the Batawi clan of the Dulaim demonstrated in Baghdad on Friday , protesting the killing of their clan elder , Shaikh Kadhim Sarhid and 4 of his sons , by gunmen wearing Iraqi army uniforms .","1 1 8 2 1 -3 -1 2 1 -4 -11 1 -2 1 -4 1 -6 1 -2 3 2 1 -4 1 -2 -1 -2 1 -6 2 1 -3 2 1 -16 -1 2 1 -3 -29"
"( This is a largely Sunni Arab clan , and some Sunni observers have accused Shiite elements in the government of being behind the assassination ; it is more likely the work of Sunni Arab guerrillas punishing the Batawi leaders for cooperating with the Dec. 15 elections . )","7 6 5 4 3 2 1 -8 6 5 2 1 2 1 -7 1 -2 2 1 -3 4 3 2 1 -10 6 5 4 1 2 1 -24 3 2 1 -4 -1 1 -2 -1 1 -3 4 3 2 -1 -5 -40 -41"
"Al - Zaman : The Iraqi High Electoral Commission on Friday denied a request of the Debaathification Commission to exclude 51 individuals from running on party lists in the Dec. 15 elections on grounds of having been sufficiently involved in Baath activities to warrant their being excluded from civil office .","-1 1 -2 8 4 3 2 1 3 1 1 -11 1 -2 3 2 1 -4 1 -6 1 -2 1 -4 2 1 -3 4 3 2 -1 -5 1 -10 4 3 2 1 -5 2 1 -3 1 -5 2 1 -3 2 1 -3 -50"
"The Commission said it had no legal grounds for such an exclusion .","1 1 -3 1 -2 2 1 -3 3 2 1 -4 -10"
"This item is a small one and easily missed .","1 4 3 2 1 -6 2 1 -3 -4"
"But in my view it is highly significant .","7 2 1 4 3 2 1 -8 -1"
"The Debaathification Commission had been pushed by Ahmad Chalabi and his Iraqi National Congress very hard , and had pushed many Sunni Arabs into the arms of the guerrillas .","2 1 3 2 1 -6 1 -2 -1 4 3 2 1 -6 1 -10 3 2 1 -14 2 1 -3 2 1 -6 2 1 -3 -24"
"Chalabi has been increasingly marginalized within Iraq , however , despite his ties of clientelage with Washington and Tehran .","4 3 2 1 -5 1 -2 1 -4 3 2 1 -8 1 -2 1 -2 1 -2 -15"
"He is no longer in the dominant Shiite list , the United Iraqi Alliance , and wo n't have many seats in the new parliament .","8 7 1 5 4 3 2 1 -9 4 3 2 1 -5 4 3 2 1 -10 1 -2 3 2 1 -4 -17"
"Some 2,000 junior officers of the old Baath army have been recalled to duty in recent months , something Chalabi would have blocked if he could have .","3 2 1 8 4 3 2 1 -5 2 1 -12 1 -2 2 1 -5 1 -7 3 2 1 -4 3 2 1 -4 -16"
"Now the Electoral Commission is refusing to punish people for mere past Baath Party membership .","5 2 1 2 1 -6 1 -2 -1 5 4 3 1 1 -7 -10"
"The situation in Iraq is only going to get better this way .","1 5 1 -2 2 1 -7 1 -2 -1 1 -2 -6"
"If someone committed a crime against humanity , prosecute the person .","2 1 6 1 -2 1 -2 -5 -9 1 -2 -3"
"If he or she did not , then they should have all the same rights as other Iraqis .","4 3 1 -2 6 -1 -2 3 2 1 -11 3 2 1 -4 2 1 -3 -8"
"Al - Sharq al - Awsat reports that a key eyewitness in the trial of Saddam Hussein for a 1982 massacre at Dujail has died .","6 1 -2 -3 1 -5 -7 17 2 1 14 2 1 -3 1 -2 -1 3 2 1 -7 1 -2 1 -18 -19"
"A team from the court managed to take his deposition before he died .","1 4 2 1 -3 -6 1 -2 1 -2 2 1 -5 -8"
"The trial begins again Nov. 28 .","1 1 -3 -1 -2 -1 -4"
"In Baghdad the fighting still continues in several areas , mostly in Sadr city and Adhamiya .","1 4 1 2 1 -6 2 1 -3 4 3 2 1 -8 1 -2 -11"
"Baghdadis do n't venture much out of their neighbourhoods any more , you never know where you might get stuck .","3 2 1 -4 -1 3 2 1 -5 1 -7 3 2 1 -11 3 2 1 -4 -1 -17"
"There has been talk that the night curfew might be implemented again .","2 1 -3 -1 6 2 1 3 2 1 -7 -1 -9"
"My neighbourhood has been surrounded by American troops for three days now , helicopters have been circling over our heads non-stop .","1 3 2 1 -5 2 1 -3 2 1 -6 -7 4 3 2 1 -12 2 1 -3 -4 -17"
"Fedayeen are now visible on the street and they have become bolder than ever .","3 2 1 -4 2 1 -3 3 2 1 -7 -1 1 -2 -11"
"Yesterday there were tens of them putting road blocks on our street and setting up mortars , they only come out in the open when Americans leave the area , then they start firing mortars indiscriminately and shooting their AK - 47's in the air .","2 1 -3 -1 1 -2 -3 1 -2 2 1 -5 1 -7 -1 -2 3 2 1 -17 -1 2 1 -4 2 1 -7 1 -2 3 2 1 -13 -1 -1 -2 1 -4 3 2 -1 -4 2 1 -7 -43"
"They are setting the road blocks at the exact same positions they were during the war last year , which indicates they are the same people .","2 1 -3 2 1 -3 4 3 1 1 -8 1 -2 2 1 -3 1 -2 2 1 -18 4 3 2 1 -5 -24"
"And there is nothing we can do about it really , people who are suggesting that we go out and fight them are living in dream land .","2 1 -3 -1 2 1 -3 1 -2 -3 13 12 2 1 -3 2 1 -3 -1 1 -3 -1 1 -21 2 1 -3 -25"
"Even the IP and ICDC have abandoned the neighbourhood , and those are trained and armed , so do n't expect scared civilians to do anything except to hide inside and pray a helicopter or a tank does n't bomb them , and also how are American soldiers going to distinguish the brave and valiant civilians from the Fedayeen ?","2 1 4 1 -2 1 -7 1 -2 4 3 2 1 -7 1 -2 4 3 2 1 -14 1 -2 1 -4 -1 2 1 -3 -1 1 -3 1 6 2 1 -3 2 1 -8 -1 7 6 5 4 3 1 1 -42 1 -2 4 3 1 -2 -5 2 1 -8 -53"
"Everyone is apprehensive , there is some talk that April 9th and 10th are going to be bloody days .","2 1 -3 2 1 -3 1 -2 6 5 -1 1 -2 1 -7 3 2 1 -4 -17"
"Most people have n't gone to work the last few days , although it seems that the rest of Baghdad is ' normal ' ( if you can define what normal is ) .","1 3 2 1 -5 1 -2 3 2 1 -6 3 2 1 -10 7 1 5 1 -2 2 1 -8 -1 4 3 2 1 -6 -1 1 -2 -4 -29"
"There are rumours about preparations by slum dwellers for another looting spree against banks , governmental and public property similar to the one that took place last April , and I have already overheard youngsters in my neighbourhood joking about it and saying things like "" This time we will be the first to loot , we did n't get anything the last time "" .","1 -2 -1 1 -2 2 1 -3 3 2 1 -7 1 -2 4 3 1 -2 -5 -8 2 1 -3 1 -2 -1 1 -3 5 4 3 2 1 -32 4 2 1 -3 -5 1 -2 1 -4 -1 8 7 1 5 4 3 2 1 -9 1 -2 4 3 2 1 -7 -1 2 1 -4 -12 -64"
