"text","label"
"Además se le pediría a las empresas interesadas en prestar el servicio que se hagan cargo de la señalización y la cartelería que contiene información para los usuarios .","4 4 4 0 7 7 4 7 10 8 12 10 15 15 4 15 19 19 16 22 22 19 24 19 24 28 28 25 4"
"Producto de el fin de el imperio y las invasiones germanas la población isleña cayó a 1 millón durante el período sajón , permaneciendo hasta el siglo XI cuando volvió a aumentar llegando a 5 a 7 millones en el siglo XV , pero tras la peste negra volvió a reducir se a solo 2 a 4 millones .","15 4 4 1 7 7 4 10 10 7 10 13 15 13 0 18 18 15 21 21 15 21 24 15 27 27 24 27 30 27 32 30 32 38 38 37 35 33 41 41 33 41 49 49 47 47 49 47 15 51 49 51 58 55 58 57 55 49 15"
"MADRID , 3 ( EUROPA PRESS ) Las tenistas españolas Anabel Medina , Carla Suárez , María José Martínez , Nuria Llagostera , Arantxa Parra y Lourdes Domínguez han decidido retirar su plante para disputar la próxima eliminatoria de la Copa Federación tras llegar a un acuerdo con la Real Federación Española de Tenis ( RFET ) después de más de cuatro horas de reunión en el Consejo Superior de Deportes ( CSD ) con la mediación de el secretario de Estado para el Deporte , Jaime Lissavetzky .","30 3 1 5 1 5 5 9 30 9 9 11 14 11 14 17 11 17 17 21 11 21 24 11 24 27 11 27 30 0 30 33 31 35 31 38 38 35 41 41 38 41 44 30 47 47 44 51 51 51 47 51 54 51 56 51 56 63 60 62 58 63 44 65 63 68 68 65 68 71 68 73 68 73 77 77 65 80 80 77 82 80 85 85 80 87 80 87 30"
"Los pacientes con diabetes son cuatro veces más propensos a desarrollar enfermedad cardíacas que aquellos que no tienen diabetes .","2 9 4 2 9 7 8 9 0 11 9 11 12 15 8 18 18 15 18 9"
"Aclarando hacia todo el mundo Valderrama Y Eduardo Son La Misma Persona .","0 5 5 5 1 12 8 6 12 12 12 1 1"
"Es un bar disfrazado de restaurante la comida esta demasiado salada .","3 3 0 3 6 4 8 11 11 11 3 3"
"Pero es muy importante que el pueblo recuerde la traición de Mauricio Macri quien hoy se oculta en Italia , para evadir criticas ante una colosal deslealtad e incoherencia de su parte .","4 4 4 0 8 7 8 4 10 8 12 10 12 17 17 17 12 19 17 22 22 17 22 27 27 27 22 29 27 32 32 27 4"
"Creo que es importante que la democracia sea diálogo y no se responda a los conflictos sociales con bala "" , indicó .","22 4 4 1 9 7 9 9 4 13 13 13 9 16 16 13 16 19 13 1 1 0 22"
"El siguiente paso fue un análisis de sangre , que también incluye un control de la fiebre glandular .","3 3 6 6 6 0 8 6 12 12 12 6 14 12 17 17 14 17 6"
"Jugó de centrocampista en el Real Zaragoza y Hércules CF , en Primera División de España .","0 3 1 7 7 7 1 9 7 9 14 14 14 7 16 14 1"
