"text","label"
"Sehr gute Beratung , schnelle Behebung der Probleme , so stelle ich mir Kundenservice vor .","2 3 0 6 6 3 8 6 11 11 3 11 11 11 11 3"
"Die Kosten sind definitiv auch in dem Rahmen .","2 3 0 3 3 8 8 3 3"
"Nette Gespräche , klasse Ergebnis","2 0 5 5 2"
"Ich bin seit längerer Zeit zu der Behandlung verschiedenster "" Leiden "" in der Physiotherapieraxis "" Gaby Montag "" in dem Vital Center und kann ausschließlich Positives berichten !","2 0 5 5 2 8 8 2 11 11 8 11 15 15 2 17 15 17 17 22 22 15 22 28 28 28 28 2 2"
"Ob bei der Terminvergabe , den Behandlungsräumen oder den individuell zugeschnittenen Trainingsplänen sind alle Mitarbeiter äußerst kompetent und flexibel .","4 4 4 17 7 7 4 12 12 11 12 4 17 15 17 17 0 19 17 17"
"Sauberkeit , Ordnung und Freundlichkeit brauche ich hier nicht zu erwähnen , denn das gehört für mich zu dem Standard , der aber auch noch übertroffen wird .","11 3 1 5 1 0 6 6 11 11 6 15 15 15 6 17 15 20 20 15 26 26 26 25 26 20 26 6"
"Physiotherapie ist zwar oftmals auch anstrengend , aber in dieser Umgebeung freut man sich auf jede Minute Behandlung .","6 6 6 6 4 0 12 12 11 11 12 6 12 12 17 17 12 17 6"
"Das nächste mal rief ich extra vorher an , um einen Termin zu vereinbaren , damit der Konditor auch Zeit für uns hätte .","3 3 4 0 4 4 4 4 14 14 12 14 14 4 23 23 18 23 20 23 22 23 14 4"
"Eine Stunde später gab man uns dann endlich einen Tisch , der allerdings noch nicht einmal abgeräumt war .","2 4 2 0 4 4 8 4 10 4 17 17 17 15 17 15 10 17 4"
"Die Bedienung verschwand sofort wieder und kam auch erstmal nicht mehr .","2 3 0 3 3 7 3 7 7 7 7 3"
"nach fast einer weiteren Stunde , nachdem sich mein Verlobter mehrmals erkundigt und zuletzt sogar beschwert hatte kam endlich der Konditor .","5 3 5 5 18 5 12 12 10 12 12 18 16 16 16 12 12 0 18 21 18 18"
"Jemand unfreundlicheres ist mir in meinem ganzen Leben noch nicht begegnet !","11 1 11 11 8 8 8 11 10 11 0 11"
"Das war der Punkt an dem wir hätten gehen sollen .","4 4 4 0 6 9 9 9 4 9 4"
"Aber da es mittlerweile nur noch 3 Wochen bis zu der Hochzeit waren und wir keinen anderen Konditor wussten , blieben wir .","8 8 8 8 6 8 8 21 8 12 12 9 8 19 19 18 18 19 8 8 0 21 21"
"Das einzig positive was man sagen kann war das sie geschmeckt hat , aber rein optisch hätte es meine kleine Schwester wirklich besser gemacht !","3 3 8 6 6 3 6 0 11 11 8 11 24 24 16 24 24 24 21 21 24 23 24 8 8"
"Für eine 300 Euro teuere Torte von einem angeblichen Meisterkonditor war das einfach nur furchtbar -- die gelieferte Torte hatte keinerlei Ähnlichkeit mit dem Bild der Torte die wir haben wollten ( welches wir ihm ja überlassen hatten ) .","6 6 4 6 4 15 10 10 10 6 15 15 14 15 0 20 19 19 20 15 22 20 25 25 22 27 25 31 31 31 27 37 37 37 37 37 25 37 37 15"
"Unser Fazit : Nie wieder Café Bleich !","2 0 6 6 6 2 6 2"
"War das erste Mal mit Ueberzeugung in dem Waschsalon , die ich vorher immer gemieden habe , da ein anderer Laden in Bremerhaven nie wirklich einladend wirkte .","0 4 4 1 6 1 9 9 1 15 15 15 15 15 9 15 27 27 21 21 27 23 21 25 27 27 1 1"
"Ich wurde überzeugt , dass Waschsalons auch einfach prima , hell , sauber und freundlich sein können .","3 3 0 9 9 9 9 7 3 11 9 13 9 15 9 9 9 3"
"Dienstleistung und Beratung wird wirklich gross geschrieben :-)","7 3 1 7 6 7 0 7"
"Fachlich kompetent , sehr gute Beratung und ein freundliches Team .","2 0 6 5 6 2 10 10 10 6 2"
"Beiden Zahnärzten verdanke ich einen neuen Biss und dadurch endlich keine Rückenschmerzen mehr .","2 3 0 3 7 7 3 12 7 12 12 7 12 3"
"Vielen Dank !","2 0 2"
"Gutbürgerliche Küche von einem Koch der sein Handwerk noch versteht","2 0 5 5 2 10 8 10 10 5"
"Der Firma liegt genau an dem Ortseingang .","2 3 0 7 7 7 3 3"
"Ist einer der besten Restaurationsbetriebe den ich finden konnte .","0 1 5 5 2 8 8 5 8 1"
"Top Qualität","2 0"
"Hier gibt es die beste Wurst in ganz Thüringen ! !","2 0 2 6 6 2 9 9 6 2 2"
"Wir sind seit vielen Jahren Mandanten der Rechtsanwälte Ruland und wurden immer optimal in bei unseren Probleme und Anliegen unterstützt .","6 6 5 5 6 0 8 6 8 20 20 20 20 20 17 17 20 19 17 6 6"
"Nett , freundlich und sehr kompetent .","0 3 1 6 6 1 1"
"Fühlte mich sehr gut aufgehoben .","0 1 4 5 1 1"
