"text","label"
"Al - Zaman : American forces killed Shaikh Abdullah al - Ani , the preacher at the mosque in the town of Qaim , near the Syrian border .","0 3 1 7 6 7 1 7 8 8 12 8 15 15 8 18 18 15 21 21 18 23 21 28 28 28 28 21 1"
"[ This killing of a respected cleric will be causing us trouble for years to come . ]","10 3 10 7 7 7 3 10 10 0 10 10 14 10 16 14 10 10"
"DPA : Iraqi authorities announced that they had busted up 3 terrorist cells operating in Baghdad .","0 5 4 5 1 9 9 9 5 9 13 13 9 13 16 14 1"
"Two of them were being run by 2 officials of the Ministry of the Interior !","6 3 1 6 6 0 9 9 6 12 12 9 15 15 12 6"
"The MoI in Iraq is equivalent to the US FBI , so this would be like having J. Edgar Hoover unwittingly employ at a high level members of the Weathermen bombers back in the 1960s .","2 6 4 2 6 0 10 10 10 6 17 17 17 17 17 17 6 17 18 18 22 17 26 26 26 22 22 31 31 31 27 35 35 35 22 6"
"The third was being run by the head of an investment firm .","2 5 5 5 0 8 8 5 12 12 12 8 5"
"You wonder if he was manipulating the market with his bombing targets .","2 0 6 6 6 2 8 6 12 12 12 6 2"
"The cells were operating in the Ghazaliyah and al - Jihad districts of the capital .","2 4 4 0 12 12 12 11 11 9 7 4 15 15 12 4"
"Although the announcement was probably made to show progress in identifying and breaking up terror cells , I do n't find the news that the Baathists continue to penetrate the Iraqi government very hopeful .","6 3 6 6 6 21 8 6 8 11 9 13 11 13 16 11 6 21 21 21 0 23 21 27 26 27 23 29 27 32 32 29 34 21 21"
"It reminds me too much of the ARVN officers who were secretly working for the other side in Vietnam .","2 0 2 5 2 9 9 9 2 13 13 13 9 17 17 17 13 19 13 2"
"Al - Zaman : Guerrillas killed a member of the Kurdistan Democratic Party after kidnapping him in Mosul .","0 3 1 6 6 1 8 6 13 13 13 13 8 15 6 15 18 15 1"
"The police commander of Ninevah Province announced that bombings had declined 80 percent in Mosul , whereas there had been a big jump in the number of kidnappings .","3 3 7 6 6 3 0 11 11 11 7 13 11 15 11 20 20 20 20 11 23 23 20 26 26 23 28 26 7"
"On Wednesday guerrillas had kidnapped a cosmetic surgeon and his wife while they were on their way home .","2 5 5 5 0 8 8 5 11 11 8 17 17 17 17 17 5 17 5"
"In Suwayrah , Kut Province , two car bombs were discovered before they could be detonated .","2 11 5 5 2 2 9 9 11 11 0 16 16 16 16 11 11"
"( Kut is in southeastern Iraq and has an overwhelmingly Shiite population , who are on the lookout for Baathist saboteurs and willingly turn them in .","6 6 6 6 6 0 8 6 12 11 12 8 18 18 18 18 18 12 21 21 18 24 24 18 24 24 6"
"This willingness is the main difference in the number of bombings in the south as opposed to the center - north of the country . )","2 6 6 6 6 0 9 9 6 11 9 14 14 11 21 15 15 21 21 19 14 24 24 21 6 6"
"In Baghdad Kadhim Talal Husain , assistant dean at the School of Education at Mustansiriyah University , was assassinated with his driver in the Salikh district .","2 19 19 3 3 8 8 3 11 11 8 13 11 16 16 11 3 19 0 22 22 19 26 26 26 19 19"
"Guerrillas killed an engineer , Asi Ali , from Tikrit .","2 0 4 2 6 4 6 10 10 4 2"
"They also killed Shaikh Hamid 'Akkab , a clan elder of a branch of the Dulaim tribe in Tikrit .","3 3 0 3 4 4 10 10 10 4 13 13 10 17 17 17 13 19 3 3"
"His mother was also killed in the attack .","2 5 5 5 0 8 8 5 5"
"Two other Dulaim leaders have been killed in the past week and a half .","4 4 4 7 7 7 0 11 11 11 7 14 14 11 7"
"Guerrillas near Hawijah launched an attack that left 6 dead , including 4 Iraqi soldiers .","4 3 1 0 6 4 8 6 8 8 10 15 15 15 9 4"
"One of them was from the Jubur tribe and was deputy commander of the Hawijah garrison .","7 3 1 7 7 7 0 7 12 12 12 7 16 16 16 12 7"
"Two hundred members of the Batawi clan of the Dulaim demonstrated in Baghdad on Friday , protesting the killing of their clan elder , Shaikh Kadhim Sarhid and 4 of his sons , by gunmen wearing Iraqi army uniforms .","2 3 11 6 6 3 6 10 10 6 0 13 11 15 11 17 11 19 17 23 23 23 19 25 23 25 25 29 23 32 32 29 35 35 19 35 39 39 36 11"
"( This is a largely Sunni Arab clan , and some Sunni observers have accused Shiite elements in the government of being behind the assassination ; it is more likely the work of Sunni Arab guerrillas punishing the Batawi leaders for cooperating with the Dec. 15 elections . )","8 8 8 8 8 8 8 0 15 15 13 13 15 15 8 17 15 20 20 17 25 25 25 25 15 32 32 32 30 32 32 8 36 36 36 32 36 39 37 39 42 39 47 47 47 45 42 8 8"
"Al - Zaman : The Iraqi High Electoral Commission on Friday denied a request of the Debaathification Commission to exclude 51 individuals from running on party lists in the Dec. 15 elections on grounds of having been sufficiently involved in Baath activities to warrant their being excluded from civil office .","0 3 1 12 9 9 9 9 12 11 12 1 14 12 18 18 18 14 20 14 22 20 24 20 27 27 24 32 32 32 30 27 34 24 39 39 39 39 34 42 42 39 44 39 47 47 44 50 50 47 1"
"The Commission said it had no legal grounds for such an exclusion .","2 3 0 5 3 8 8 5 12 12 12 8 3"
"This item is a small one and easily missed .","2 6 6 6 6 0 9 9 6 6"
"But in my view it is highly significant .","8 4 4 8 8 8 8 0 8"
"The Debaathification Commission had been pushed by Ahmad Chalabi and his Iraqi National Congress very hard , and had pushed many Sunni Arabs into the arms of the guerrillas .","3 3 6 6 6 0 8 6 8 14 14 14 14 8 16 6 20 20 20 6 23 23 20 26 26 20 29 29 26 6"
"Chalabi has been increasingly marginalized within Iraq , however , despite his ties of clientelage with Washington and Tehran .","5 5 5 5 0 7 5 9 5 13 13 13 5 15 13 17 15 19 17 5"
"He is no longer in the dominant Shiite list , the United Iraqi Alliance , and wo n't have many seats in the new parliament .","9 9 4 9 9 9 9 9 0 14 14 14 14 9 19 19 19 19 9 21 19 25 25 25 21 9"
"Some 2,000 junior officers of the old Baath army have been recalled to duty in recent months , something Chalabi would have blocked if he could have .","4 4 4 12 9 9 9 9 4 12 12 0 14 12 17 17 12 19 12 23 23 23 19 27 27 27 23 12"
"Now the Electoral Commission is refusing to punish people for mere past Baath Party membership .","6 4 4 6 6 0 8 6 8 15 15 15 14 15 8 6"
"The situation in Iraq is only going to get better this way .","2 7 4 2 7 7 0 9 7 9 12 10 7"
"If someone committed a crime against humanity , prosecute the person .","3 3 9 5 3 7 5 3 0 11 9 9"
"If he or she did not , then they should have all the same rights as other Iraqis .","5 5 4 2 11 5 5 11 11 11 0 15 15 15 11 18 18 15 11"
"Al - Sharq al - Awsat reports that a key eyewitness in the trial of Saddam Hussein for a 1982 massacre at Dujail has died .","7 3 1 1 6 1 0 25 11 11 25 14 14 11 16 14 16 21 21 21 14 23 21 25 7 7"
"A team from the court managed to take his deposition before he died .","2 6 5 5 2 0 8 6 10 8 13 13 8 6"
"The trial begins again Nov. 28 .","2 3 0 3 3 5 3"
"In Baghdad the fighting still continues in several areas , mostly in Sadr city and Adhamiya .","2 6 4 6 6 0 9 9 6 14 14 14 14 6 16 14 6"
"Baghdadis do n't venture much out of their neighbourhoods any more , you never know where you might get stuck .","4 4 4 0 4 9 9 9 4 11 4 15 15 15 4 19 19 19 15 19 4"
"There has been talk that the night curfew might be implemented again .","3 3 0 3 11 8 8 11 11 11 4 11 4"
"My neighbourhood has been surrounded by American troops for three days now , helicopters have been circling over our heads non-stop .","2 5 5 5 0 8 8 5 11 11 5 5 17 17 17 17 5 20 20 17 17 5"
"Fedayeen are now visible on the street and they have become bolder than ever .","4 4 4 0 7 7 4 11 11 11 4 11 14 12 4"
"Yesterday there were tens of them putting road blocks on our street and setting up mortars , they only come out in the open when Americans leave the area , then they start firing mortars indiscriminately and shooting their AK - 47's in the air .","3 3 0 3 6 4 4 9 7 12 12 7 14 7 14 14 20 20 20 3 20 24 24 20 27 27 20 29 27 33 33 33 20 33 34 34 38 34 42 42 40 38 45 45 38 3"
"They are setting the road blocks at the exact same positions they were during the war last year , which indicates they are the same people .","3 3 0 6 6 3 11 11 10 11 3 13 11 16 16 13 18 16 21 21 3 26 26 26 26 21 3"
"And there is nothing we can do about it really , people who are suggesting that we go out and fight them are living in dream land .","3 3 0 3 7 7 4 9 7 7 24 24 15 15 12 18 18 15 18 21 18 21 24 3 27 27 24 3"
"Even the IP and ICDC have abandoned the neighbourhood , and those are trained and armed , so do n't expect scared civilians to do anything except to hide inside and pray a helicopter or a tank does n't bomb them , and also how are American soldiers going to distinguish the brave and valiant civilians from the Fedayeen ?","3 3 7 5 3 7 0 9 7 14 14 14 14 7 16 14 21 21 21 21 7 23 21 25 21 25 29 29 26 29 32 29 34 40 37 37 34 40 40 32 40 49 49 49 49 49 48 49 7 51 49 56 56 55 53 51 59 59 51 7"
"Everyone is apprehensive , there is some talk that April 9th and 10th are going to be bloody days .","3 3 0 6 6 3 8 6 15 15 10 13 11 15 8 19 19 19 15 3"
"Most people have n't gone to work the last few days , although it seems that the rest of Baghdad is ' normal ' ( if you can define what normal is ) .","2 5 5 5 0 7 5 11 11 11 5 15 15 15 5 23 18 23 20 18 23 23 15 23 29 29 29 29 23 29 32 30 29 5"
"There are rumours about preparations by slum dwellers for another looting spree against banks , governmental and public property similar to the one that took place last April , and I have already overheard youngsters in my neighbourhood joking about it and saying things like "" This time we will be the first to loot , we did n't get anything the last time "" .","2 0 2 5 3 8 8 5 12 12 12 5 14 12 19 19 18 16 14 12 23 23 20 25 23 25 28 25 34 34 34 34 34 2 39 38 38 35 34 41 39 43 39 43 53 53 48 53 53 53 53 53 44 55 53 60 60 60 60 53 60 64 64 60 53 2"
"Mosques are calling for donating blood , food , and medicine for Fallujah , and several convoys have already headed out for Fallujah , most of them returned later though .","3 3 0 5 3 5 8 6 11 11 6 13 5 20 20 17 20 20 20 3 20 23 21 28 28 27 25 3 28 28 3"
"What irritates me is this sudden false ' solidarity ' between Sunni and Shi'ite clerics , we all know that they would be glad to get at each other s throats when they have the chance , and Shia clerics were describing Fallujan insurgents as ' Ba'athists ' , ' Saddamites ' , ' Wahhabis ' , and ' terrorists ' just a few days ago .","2 9 2 9 9 9 9 9 0 9 15 15 14 12 9 19 19 17 9 24 24 24 24 19 26 24 31 31 28 28 26 34 34 26 36 34 42 42 40 42 42 19 44 42 55 47 42 47 51 51 47 51 55 55 47 55 60 60 60 47 60 65 65 65 66 42 9"
"So what happened ?","3 3 0 3"
"I guess it 's just the old new Arab ' Me against my brother , me and my brother against my cousin , me and my cousin against my enemy ' , or ' The enemy of my enemy is my friend ' thing going on again .","2 0 44 44 44 44 44 44 44 11 44 14 14 11 16 11 19 19 16 22 22 16 24 11 27 27 24 30 30 24 11 42 42 42 36 42 39 39 36 42 42 11 42 2 44 45 45 2"
"Speaking of Fallujah , we have only Al - Jazeera to rely on for our news from there .","6 3 1 1 6 0 10 10 8 6 12 10 12 16 16 12 18 16 6"
"They have sent over their top reporter Ahmed Mansour to the town , and he is spouting all kinds of propaganda hourly reminding me of Al - Sahhaf .","3 3 0 3 7 7 3 7 8 12 12 3 17 17 17 17 3 19 17 21 19 17 17 23 26 23 28 26 3"
""" They are targetting ambulances "" , "" American snipers are shooting children and pregnant women "" , and "" They are using cluster bombs against civilians "" is all you get to hear from him .","4 4 4 30 4 4 12 12 10 12 12 4 12 16 16 13 12 23 23 23 23 23 4 25 23 27 23 23 30 0 32 30 34 32 36 34 30"
