"text","label"
"Además se le pediría a las empresas interesadas en prestar el servicio que se hagan cargo de la señalización y la cartelería que contiene información para los usuarios .","advmod expl obl root case det obl amod mark advcl det obj mark expl csubj obj case det nmod cc det conj mark acl obj case det nmod punct"
"Producto de el fin de el imperio y las invasiones germanas la población isleña cayó a 1 millón durante el período sajón , permaneciendo hasta el siglo XI cuando volvió a aumentar llegando a 5 a 7 millones en el siglo XV , pero tras la peste negra volvió a reducir se a solo 2 a 4 millones .","obl case det nmod case det nmod cc det conj amod det nsubj amod root case nummod obl case det obl amod punct advcl case det obl nummod mark acl mark xcomp advcl case nummod case nmod obl case det obl nummod punct cc case det obl amod conj mark xcomp expl case advmod nummod case nmod obl punct"
"MADRID , 3 ( EUROPA PRESS ) Las tenistas españolas Anabel Medina , Carla Suárez , María José Martínez , Nuria Llagostera , Arantxa Parra y Lourdes Domínguez han decidido retirar su plante para disputar la próxima eliminatoria de la Copa Federación tras llegar a un acuerdo con la Real Federación Española de Tenis ( RFET ) después de más de cuatro horas de reunión en el Consejo Superior de Deportes ( CSD ) con la mediación de el secretario de Estado para el Deporte , Jaime Lissavetzky .","dep punct dep punct appos appos punct det nsubj amod appos flat punct conj flat punct conj flat flat punct conj flat punct conj flat cc conj flat aux root xcomp det obj mark advcl det amod obj case det nmod flat mark advcl case det obl case det amod nmod amod case nmod punct appos punct advmod case advmod fixed nummod obl case nmod case det nmod amod case nmod punct appos punct case det nmod case det nmod case nmod case det nmod punct appos flat punct"
"Los pacientes con diabetes son cuatro veces más propensos a desarrollar enfermedad cardíacas que aquellos que no tienen diabetes .","det nsubj case nmod cop nummod nmod advmod root mark advcl obj amod case nmod mark advmod acl obj punct"
"Aclarando hacia todo el mundo Valderrama Y Eduardo Son La Misma Persona .","root case det det obl nsubj cc conj cop det amod xcomp punct"
"Es un bar disfrazado de restaurante la comida esta demasiado salada .","cop det root acl case obl det nsubj cop nmod parataxis punct"
"Pero es muy importante que el pueblo recuerde la traición de Mauricio Macri quien hoy se oculta en Italia , para evadir criticas ante una colosal deslealtad e incoherencia de su parte .","cc cop advmod root mark det nsubj csubj det obj case nmod flat nsubj advmod expl acl case obl punct mark advcl obj case det amod obl cc conj case det nmod punct"
"Creo que es importante que la democracia sea diálogo y no se responda a los conflictos sociales con bala "" , indicó .","ccomp mark cop ccomp mark det nsubj cop csubj cc advmod expl conj case det obl amod case obl punct punct root punct"
"El siguiente paso fue un análisis de sangre , que también incluye un control de la fiebre glandular .","det amod nsubj cop det root case nmod punct mark advmod acl det obj case det nmod amod punct"
"Jugó de centrocampista en el Real Zaragoza y Hércules CF , en Primera División de España .","root case obl case det amod obl cc conj flat punct case amod nmod case nmod punct"
"El sistema completo de una cámara de vídeo recibe el nombre de cadena de cámara y consta de la ' cabeza de cámara , que es la parte que está en el plató o en el lugar de la producción , y la estación base - o base station - que es la parte de la cámara que la une con el resto de el sistema de producción .","det nsubj amod case det nmod case nmod root det obj case nmod case nmod cc conj case det punct obl case nmod punct mark cop det acl mark acl case det obl cc case det conj case det nmod punct cc det nsubj conj punct cc conj flat punct mark cop det acl case det nmod mark obj acl case det obl case det nmod case nmod punct"
"El municipio de Prosper ( en inglés : Prosper Township ) es un municipio ubicado en el condado de Lake of the Woods en el estado estadounidense de Minnesota .","det nsubj case nmod punct case nmod punct appos flat punct cop det root acl case det obl case nmod flat flat flat case det nmod amod case nmod punct"
"La cárcel de San Miguel , oficialmente Centro Detención Preventiva San Miguel , es un recinto penal chileno , ubicado en la comuna de San Miguel , Santiago .","det nsubj case amod nmod punct advmod appos appos amod amod appos punct cop det root amod amod punct acl case det obl case amod nmod punct appos punct"
