"text","label"
"Al - Zaman : American forces killed Shaikh Abdullah al - Ani , the preacher at the mosque in the town of Qaim , near the Syrian border .","-0.0345 0.0345 -0.069 0.1034 0.0345 0.0345 -0.2069 -0.0345 -0.0345 -0.069 0.0345 -0.1379 0.069 0.0345 -0.2414 0.069 0.0345 -0.1034 0.069 0.0345 -0.1034 0.0345 -0.069 0.1379 0.1034 0.069 0.0345 -0.2414 -0.9655"
"[ This killing of a respected cleric will be causing us trouble for years to come . ]","0.5 0.0556 0.3889 0.1667 0.1111 0.0556 -0.2222 0.1111 0.0556 -0.5556 -0.0556 -0.1111 0.0556 -0.2222 0.0556 -0.1111 -0.3889 -0.4444"
"DPA : Iraqi authorities announced that they had busted up 3 terrorist cells operating in Baghdad .","-0.0588 0.1765 0.0588 0.0588 -0.2353 0.1765 0.1176 0.0588 -0.2353 -0.0588 0.1176 0.0588 -0.2353 -0.0588 0.0588 -0.1176 -0.9412"
"Two of them were being run by 2 officials of the Ministry of the Interior !","0.3125 0.0625 -0.125 0.125 0.0625 -0.375 0.125 0.0625 -0.1875 0.125 0.0625 -0.1875 0.125 0.0625 -0.1875 -0.625"
"The MoI in Iraq is equivalent to the US FBI , so this would be like having J. Edgar Hoover unwittingly employ at a high level members of the Weathermen bombers back in the 1960s .","0.0278 0.1111 0.0278 -0.0556 0.0278 -0.1667 0.0833 0.0556 0.0278 -0.1111 0.1667 0.1389 0.1111 0.0833 0.0556 0.0278 -0.3056 -0.0278 -0.0278 -0.0556 0.0278 -0.1389 0.0833 0.0556 0.0278 -0.1111 -0.1389 0.0833 0.0556 0.0278 -0.1111 0.0833 0.0556 0.0278 -0.3611 -0.8333"
"The third was being run by the head of an investment firm .","0.0769 0.2308 0.1538 0.0769 -0.3846 0.1538 0.0769 -0.2308 0.2308 0.1538 0.0769 -0.3077 -0.6154"
"You wonder if he was manipulating the market with his bombing targets .","0.0769 -0.1538 0.2308 0.1538 0.0769 -0.3077 0.0769 -0.1538 0.2308 0.1538 0.0769 -0.4615 -0.8462"
"The cells were operating in the Ghazaliyah and al - Jihad districts of the capital .","0.0625 0.125 0.0625 -0.25 0.4375 0.375 0.3125 0.1875 0.125 -0.0625 -0.25 -0.5 0.125 0.0625 -0.1875 -0.75"
"Although the announcement was probably made to show progress in identifying and breaking up terror cells , I do n't find the news that the Baathists continue to penetrate the Iraqi government very hopeful .","0.1429 0.0286 0.0857 0.0571 0.0286 0.4286 0.0286 -0.0571 -0.0286 0.0286 -0.0571 0.0286 -0.0571 -0.0286 0.0286 -0.1429 -0.3143 0.0857 0.0571 0.0286 -0.6 0.0286 -0.0571 0.0857 0.0286 0.0286 -0.1143 0.0286 -0.0571 0.0571 0.0286 -0.0857 0.0286 -0.3714 -0.4"
"It reminds me too much of the ARVN officers who were secretly working for the other side in Vietnam .","0.05 -0.1 -0.05 0.05 -0.15 0.15 0.1 0.05 -0.35 0.15 0.1 0.05 -0.2 0.15 0.1 0.05 -0.2 0.05 -0.3 -0.9"
"Al - Zaman : Guerrillas killed a member of the Kurdistan Democratic Party after kidnapping him in Mosul .","-0.0526 0.0526 -0.1053 0.1053 0.0526 -0.2632 0.0526 -0.1053 0.2105 0.1579 0.1053 0.0526 -0.2632 0.0526 -0.4737 -0.0526 0.0526 -0.1579 -0.9474"
"The police commander of Ninevah Province announced that bombings had declined 80 percent in Mosul , whereas there had been a big jump in the number of kidnappings .","0.069 0.0345 0.1379 0.069 0.0345 -0.1034 -0.2414 0.1034 0.069 0.0345 -0.1379 0.0345 -0.069 0.0345 -0.1379 0.1379 0.1034 0.069 0.0345 -0.3103 0.069 0.0345 -0.1034 0.069 0.0345 -0.1034 0.0345 -0.069 -0.7586"
"On Wednesday guerrillas had kidnapped a cosmetic surgeon and his wife while they were on their way home .","0.0526 0.1579 0.1053 0.0526 -0.2632 0.1053 0.0526 -0.1579 0.1053 0.0526 -0.1579 0.2632 0.2105 0.1579 0.1053 0.0526 -0.6316 -0.0526 -0.7368"
"In Suwayrah , Kut Province , two car bombs were discovered before they could be detonated .","0.0588 0.5294 0.1176 0.0588 -0.1765 -0.2353 0.1176 0.0588 0.1176 0.0588 -0.6471 0.2353 0.1765 0.1176 0.0588 -0.2941 -0.3529"
"( Kut is in southeastern Iraq and has an overwhelmingly Shiite population , who are on the lookout for Baathist saboteurs and willingly turn them in .","0.1852 0.1481 0.1111 0.0741 0.037 -0.2222 0.037 -0.0741 0.1111 0.037 0.037 -0.1481 0.1852 0.1481 0.1111 0.0741 0.037 -0.2222 0.0741 0.037 -0.1111 0.0741 0.037 -0.2222 -0.037 -0.0741 -0.7778"
"This willingness is the main difference in the number of bombings in the south as opposed to the center - north of the country . )","0.0385 0.1538 0.1154 0.0769 0.0385 -0.2308 0.0769 0.0385 -0.1154 0.0385 -0.0769 0.0769 0.0385 -0.1154 0.2308 -0.0385 -0.0769 0.1154 0.0769 -0.0385 -0.2692 0.0769 0.0385 -0.1154 -0.7308 -0.7692"
