"text","label"
"Aesthetic Appreciation and Spanish Art :","amod root cc amod conj punct"
"Insights from Eye - Tracking","root case compound punct nmod"
"Claire Bailey - Ross claire.bailey-ross@port.ac.uk University of Portsmouth , United Kingdom","root flat punct flat list list case nmod punct amod list"
"Andrew Beresford a.m.beresford@durham.ac.uk Durham University , United Kingdom","root flat list compound list punct amod list"
"Daniel Smith daniel.smith2@durham.ac.uk Durham University , United Kingdom","root flat list compound list punct amod list"
"Claire Warwick c.l.h.warwick@durham.ac.uk Durham University , United Kingdom","root flat list compound list punct amod list"
"How do people look at and experience art ?","advmod aux nsubj root case cc conj obl punct"
"Which elements of specific artworks do they focus on ?","det obl case amod nmod aux nsubj root case punct"
"Do museum labels have an impact on how people look at artworks ?","aux compound nsubj root det obj case nmod nsubj advcl case obl punct"
"The viewing experience of art is a complex one , involving issues of perception , attention , memory , decision - making , affect , and emotion .","det compound nsubj case nmod cop det amod root punct acl obj case nmod punct conj punct conj punct compound punct conj punct conj punct cc conj punct"
"Thus , the time it takes and the ways of visually exploring an artwork can inform about its relevance , interestingness , and even its aesthetic appeal .","advmod punct det nsubj nsubj acl cc det conj mark advmod acl det obj aux root case nmod obl punct conj punct cc advmod nmod amod conj punct"
"This paper describes a collaborative pilot project focusing on a unique collection of 17th Century Zurbarán paintings .","det nsubj root det amod compound obj acl case det amod obl case amod compound compound nmod punct"
"The Jacob cycle at Auckland Castle is the only UK example of a continental collection preserved in situ in purpose - built surroundings .","det compound nsubj case compound nmod cop det amod compound root case det amod nmod acl case obl case compound punct amod obl punct"
"While studies of the psychology of art have focused on individual works and distinctions between representative / non-representative topics , no work has been completed on the aesthetic appreciation of collections or of devotional themes .","mark nsubj case det nmod case nmod aux advcl case amod obl cc conj case amod cc conj nmod punct det nsubj aux aux root case det amod obl case nmod cc case amod conj punct"
"In this paper , we report upon the novel insights eye - tracking techniques have provided into the unconscious processes of viewing the unique collection of Zurbarán artworks .","case det obl punct nsubj root case det amod obl compound punct compound nsubj aux acl case det amod obl mark acl det amod obj case compound nmod punct"
"The purpose of this pilot study was to assess the effects of different written interpretation on the visual exploration of artworks .","det nsubj case det compound nmod cop mark root det obj case amod amod nmod case det amod nmod case nmod punct"
"We will discuss the potential implications of these techniques and our understanding of visual behaviours on museum and gallery practice .","nsubj aux root det amod obj case det nmod cc nmod conj case amod nmod case compound cc conj nmod punct"
"The project brings together established research strengths in Spanish art history , experimental psychology , digital humanities , and museum studies to explore , using eye - tracking techniques , aesthetic reactions to digital representations of the individual Zurbarán artworks as well as the significance of the collection as a whole .","det nsubj root compound amod compound obj case amod compound nmod punct amod conj punct amod conj punct cc compound conj mark advcl punct advcl compound punct compound obj punct amod appos case amod nmod case det amod compound nmod cc fixed fixed det conj case det nmod case det nmod punct"
"Our experience of art develops from the interaction of several cognitive and affective processes ; the beginning of which is a visual scan of the artwork .","nmod nsubj case nmod root case det obl case amod amod cc conj nmod punct det nsubj case nmod cop det amod acl case det nmod punct"
"When regarding an artwork , a viewer gathers information through a series fixations , interspersed by rapid movements of the eye called saccades .","advmod advcl det obj punct det nsubj root obj case det compound obl punct acl case amod obl case det nmod acl obj punct"
"The direction of saccades is determined by an interaction between the goals of the observer and the physical properties of the different elements of the scene ( e.g. colour , texture , brightness etc ) .","det nsubj case nmod aux root case det obl case det nmod case det nmod cc det amod conj case det amod nmod case det nmod punct advmod appos punct conj punct conj conj punct punct"
"Importantly , studying eye movements offers an insight that does not depend on the participants ’ beliefs , memories or subjective impressions of the artwork .","advmod punct csubj compound obj root det obj nsubj aux advmod acl case det nmod case obl punct conj cc amod conj case det nmod punct"
"Previous eye tracking research has highlighted the potential to transform the ways we understand visual processing in the arts ( see for example Brieber 2014 ; Binderman et al. , 2005 ) and at the same time offers a direct way of studying several important factors of a museum visit ( Filippini Fantoni et al. , 2013 ; Heidenreich & Turano 2011 ; Milekic 2010 ) .","amod compound compound nsubj aux root det obj mark acl det obj nsubj acl amod obj case det nmod punct dep case obl obj nmod punct conj cc conj punct nmod punct cc case det amod obl conj det amod obj mark acl amod amod obj case det compound nmod punct dep flat cc conj punct nmod punct conj cc conj nmod punct conj nmod punct punct"
"Zurbarán ’s cycle of Jacob and his Sons has been on display in the Long Room at Auckland Castle for over 250 years .","nmod case nsubj case nmod cc nmod conj aux cop case root case det compound nmod case compound nmod case advmod nummod nmod punct"
"It is the only cycle to be preserved in purpose - built surroundings in the UK , and one of very few of its kind in the world .","nsubj cop det amod root mark aux acl case compound punct amod obl case det nmod punct cc conj case advmod nmod case nmod obl case det nmod punct"
"It has a long history in scholarship ( Baron & Beresford 2014 ) , but many key aspects of its production and significance have not yet been fully understood .","nsubj root det amod obj case nmod punct dep cc conj nmod punct punct cc amod amod nsubj case nmod nmod cc conj aux advmod advmod aux advmod conj punct"
"In this study we used eye - tracking in the first stage of exploring audience experience of the extensive Spanish art collections of County Durham , of which the 13 Zurbarán artworks ( there are actually only 12 Zurbarán artworks , the 13th Benjamin , is a copy by Arthur Pond ) are a key part of , to investigate the ways in which audiences look at Spanish art , how aesthetic experience is evaluated and whether audiences can be encouraged to approach art in different ways .","case det obl nsubj root compound punct obj case det amod obl mark acl compound obj case det amod amod compound nmod case compound nmod punct case nmod det nummod compound nsubj punct expl parataxis advmod advmod nummod compound nsubj punct det nsubj appos punct cop det parataxis case nmod flat punct cop det amod acl nmod punct mark advcl det obj case obl nsubj acl case amod obl punct advmod amod nsubj aux conj cc mark nsubj aux aux conj mark xcomp obj case amod obl punct"
"This pilot project primarily investigated how participants visually explore artworks and provides new insights into the potential eye - tracking has to transform the ways we understand visual processing in arts and culture and at the same time offer a direct way of studying several important factors of a museum visit , namely to assess the effects of label characteristics on visitor visual behaviour .","det compound nsubj advmod root obj nsubj advmod advcl obj cc conj amod obj case det nmod compound punct nsubj acl mark acl det obj nsubj acl amod obj case nmod cc conj cc case det amod obl conj det amod obj mark acl amod amod obj case det compound nmod punct advmod mark acl det obj case compound nmod case compound amod obl punct"
"1 Introduction","dep root"
"Tenured and tenure - track university faculty play a special role in determining the speed and direction of scientific progress , both directly through their research and indirectly through their training of new researchers .","amod cc compound punct conj compound nsubj root det amod obj mark advcl det obj cc conj case amod nmod punct cc advmod case nmod obl cc advmod case nmod conj case amod nmod punct"
"Past studies establish that each of these efforts is strongly and positively influenced through various forms of faculty diversity , including ethnic , racial , and gender diversity .","amod nsubj root mark nsubj case det nmod aux advmod cc conj ccomp case amod obl case compound nmod punct case amod punct conj punct cc conj nmod punct"
"As an example , research shows that greater diversity within a community or group can lead to improved critical thinking [ 1 ] and more creative solutions to complex tasks [ 2 , 3 ] by pairing together individuals with unique skillsets and perspectives that complement and often augment the abilities of their peers .","case det obl punct nsubj root mark amod nsubj case det nmod cc conj aux ccomp case amod amod obl punct dep punct cc advmod amod conj case amod nmod punct dep punct dep punct mark advcl advmod obj case amod nmod cc conj nsubj acl cc advmod conj det obj case nmod nmod punct"
"Additionally , diversity has been shown to produce more supportive social climates and effective learning environments [ 4 ] , which can facilitate the mentoring of young scientists .","advmod punct nsubj aux aux root mark xcomp advmod amod amod obj cc amod compound conj punct dep punct punct nsubj aux acl det obj case amod nmod punct"
"Despite these positive effects , however , quantifying the impact of diversity in science remains exceedingly difficult , due in large part to a lack of comprehensive data about the scientific workforce .","case det amod obl punct advmod punct csubj det obj case nmod case nmod root advmod xcomp punct case case amod obl fixed det obl case amod nmod case det amod nmod punct"
"Measuring the composition and dynamics of a scientific workforce , particularly in a rapidly expanding field like computer science , is a crucial first step toward understanding how scholarly research is conducted and how it might be enhanced .","csubj det obj cc conj case det amod nmod punct advmod case det advmod amod obl case compound nmod punct cop det amod amod root mark acl obj amod nsubj aux advcl cc conj nsubj aux aux advcl punct"
"For many scientific fields , however , there is no central listing of all tenure - track faculty , making it difficult to define a rigorous sample frame for analysis .","case amod amod obl punct advmod punct expl root det amod nsubj case det compound punct compound nmod punct advcl obj xcomp mark xcomp det amod compound obj case obl punct"
"Further , rates of adoption of services like GoogleScholar and ResearchGate vary within , and across disciplines .","advmod punct nsubj case nmod case nmod case nmod cc conj root case punct cc conj obl punct"
"For instance , gender representation in computing is an important issue with broad implications [ 5 ] , but without a full census of computing faculty , the degree of inequality and its possible sources are difficult to establish [ 6 ] .","case nmod punct compound nsubj case nmod cop det amod root case amod nmod punct dep punct punct cc case det amod obl case compound nmod punct det nsubj case nmod cc nmod amod conj cop conj mark xcomp punct dep punct punct"
"Some disciplines , like political science , are organized around a single professional society , whose membership roll approximates a full census [ 7 ] .","det nsubj punct case amod nmod punct aux root case det amod amod obl punct nmod compound nsubj acl det amod obj punct dep punct punct"
"Most fields , on the other hand , including computer science , lack a single all - encompassing organization and membership information is instead distributed across many disjoint lists , such as web - based faculty directories for individual departments .","amod nsubj punct case det amod obl punct case compound nmod punct root det amod compound punct amod obj cc compound nsubj aux advmod conj case amod amod obl punct case fixed compound punct amod compound nmod case amod nmod punct"
