"text0","text1","label"
"世贸双塔建造用时多长","11.0 年份","1"
"世贸双塔建造用时多长","307.7 英里","0"
"love you like there's no tomorrow是谁演唱的","克里斯·扬","1"
"love you like there's no tomorrow是谁演唱的","乔纳森·泰勒·托马斯","0"
"lakers 上一次进入季后赛是什么时候","2013","1"
"lakers 上一次进入季后赛是什么时候","2007","0"
"怪奇物语每季有多少集","3.0","1"
"怪奇物语每季有多少集","4.0","0"
"《i hear you knocking but you can't come in》是谁演唱的","戴维·埃德蒙兹 ","1"
"《i hear you knocking but you can't come in》是谁演唱的","西雅图塔科马国际机场","0"
"经the voice节目出道的有谁","小约翰·德·莫尔","1"
"经the voice节目出道的有谁","劳登·温赖特三世","0"
"狂野西部是何时开始和结束的","1865","1"
"狂野西部是何时开始和结束的","1926-04-21","0"
"公羊队什么时候参加超级碗的","1999","1"
"公羊队什么时候参加超级碗的","2016-09","0"
"歌曲oh what a night是谁演唱的","四季乐队","1"
"歌曲oh what a night是谁演唱的","雅娜·卡尔芒","0"
"i want to be with you everywhere是谁唱的","佛利伍麦克","1"
"i want to be with you everywhere是谁唱的","四季乐队","0"
"谁在《耶稣基督超级巨星》中扮演玛丽·玛格达莱妮","伊冯·爱利曼","1"
"谁在《耶稣基督超级巨星》中扮演玛丽·玛格达莱妮","查德·丹佛斯","0"
"圣经中的lamentations的是谁写的","耶利米","1"
"圣经中的lamentations的是谁写的","比尔·克林顿","0"
"instagram上粉丝最多的是谁","克里斯蒂亚诺·罗纳尔多","1"
"instagram上粉丝最多的是谁","大肠","0"
"办公室电视剧的哪一集是吐槽大会","缓解压力","1"
"办公室电视剧的哪一集是吐槽大会","富兰克林·德拉诺·罗斯福","0"
"谁生产了世界上最多的开心果","伊朗","1"
"谁生产了世界上最多的开心果"," 硬石餐厅","0"
"亚利桑那红雀体育场叫什么名字","州立农场体育场","1"
"亚利桑那红雀体育场叫什么名字","劳尔梅里恩高中","0"
"i've never been to me是谁演唱的","夏琳·邓肯","1"
"i've never been to me是谁演唱的","列宁","0"
"落基山脉覆盖了多少个州","6.0","1"
"落基山脉覆盖了多少个州","2.0","0"
"let's go all the way是谁演唱的","狡猾的狐狸","1"
"let's go all the way是谁演唱的","圣路易斯公羊","0"
"谁夺得了2015年的美国达人秀","保罗·泽丁","1"
"谁夺得了2015年的美国达人秀","宾夕法尼亚州","0"
"女童子军的年龄限制是多少","5.0 18.0 年份","1"
"女童子军的年龄限制是多少","69.0 °f","0"
"steelers队和panthers队上一次对阵是什么时候","2019-08-29","1"
"steelers队和panthers队上一次对阵是什么时候","1940-10-21","0"
"cubs 上次夺得世界联赛是什么时候","2016","1"
"cubs 上次夺得世界联赛是什么时候","2015","0"
"迈克尔·乔丹什么时候被nba选中的","1984","1"
"迈克尔·乔丹什么时候被nba选中的","2021-01-03","0"
"宪法上一次修改是什么时候","1992","1"
"宪法上一次修改是什么时候","1974","0"
"《Singing in the Rain》中的人物有哪些","唐纳德·奥康纳","1"
"《Singing in the Rain》中的人物有哪些","奥克塔维亚·莱诺拉·斯宾塞","0"
