"text","label"
"Sehr gute Beratung , schnelle Behebung der Probleme , so stelle ich mir Kundenservice vor .","1 1 -3 2 1 -3 1 -2 2 1 -8 -1 -2 -3 -4 -13"
"Die Kosten sind definitiv auch in dem Rahmen .","1 1 -3 -1 -2 2 1 -5 -6"
"Nette Gespräche , klasse Ergebnis","1 -2 2 1 -3"
"Ich bin seit längerer Zeit zu der Behandlung verschiedenster "" Leiden "" in der Physiotherapieraxis "" Gaby Montag "" in dem Vital Center und kann ausschließlich Positives berichten !","1 -2 2 1 -3 2 1 -6 2 1 -3 -1 2 1 -13 1 -2 -1 -2 2 1 -7 -1 4 3 2 1 -26 -27"
"Ob bei der Terminvergabe , den Behandlungsräumen oder den individuell zugeschnittenen Trainingsplänen sind alle Mitarbeiter äußerst kompetent und flexibel .","3 2 1 13 2 1 -3 4 3 1 1 -8 4 1 2 1 -17 1 -2 -3"
"Sauberkeit , Ordnung und Freundlichkeit brauche ich hier nicht zu erwähnen , denn das gehört für mich zu dem Standard , der aber auch noch übertroffen wird .","10 1 -2 1 -4 -6 -1 -2 2 1 -5 3 2 1 -9 1 -2 2 1 -5 5 4 3 1 1 -6 -1 -22"
"Physiotherapie ist zwar oftmals auch anstrengend , aber in dieser Umgebeung freut man sich auf jede Minute Behandlung .","5 4 3 2 -1 -6 5 4 2 1 1 -6 -1 -2 2 1 -5 -1 -13"
"Das nächste mal rief ich extra vorher an , um einen Termin zu vereinbaren , damit der Konditor auch Zeit für uns hätte .","2 1 1 -4 -1 -2 -3 -4 5 4 1 2 1 -10 8 7 1 5 1 3 1 1 -9 -20"
"Eine Stunde später gab man uns dann endlich einen Tisch , der allerdings noch nicht einmal abgeräumt war .","1 2 -1 -4 -1 -2 1 -4 1 -6 6 5 4 1 2 -1 -7 -1 -15"
"Die Bedienung verschwand sofort wieder und kam auch erstmal nicht mehr .","1 1 -3 -1 -2 1 -4 -1 -2 -3 -4 -9"
"nach fast einer weiteren Stunde , nachdem sich mein Verlobter mehrmals erkundigt und zuletzt sogar beschwert hatte kam endlich der Konditor .","4 1 2 1 13 -1 5 4 1 2 1 6 3 2 1 -4 -5 -18 -1 1 -3 -4"
