"text","label"
"Sehr gute Beratung , schnelle Behebung der Probleme , so stelle ich mir Kundenservice vor .","ADV ADJ NOUN PUNCT ADJ NOUN DET NOUN PUNCT ADV VERB PRON PRON NOUN ADP PUNCT"
"Die Kosten sind definitiv auch in dem Rahmen .","DET NOUN VERB ADV ADV ADP DET NOUN PUNCT"
"Nette Gespräche , klasse Ergebnis","ADJ NOUN PUNCT ADJ NOUN"
"Ich bin seit längerer Zeit zu der Behandlung verschiedenster "" Leiden "" in der Physiotherapieraxis "" Gaby Montag "" in dem Vital Center und kann ausschließlich Positives berichten !","PRON VERB ADP ADJ NOUN ADP DET NOUN ADJ PUNCT NOUN PUNCT ADP DET NOUN PUNCT PROPN PROPN PUNCT ADP DET PROPN PROPN CCONJ AUX ADV NOUN VERB PUNCT"
"Ob bei der Terminvergabe , den Behandlungsräumen oder den individuell zugeschnittenen Trainingsplänen sind alle Mitarbeiter äußerst kompetent und flexibel .","CCONJ ADP DET NOUN PUNCT DET NOUN CCONJ DET ADV ADJ NOUN AUX DET NOUN ADV ADJ CCONJ ADJ PUNCT"
"Sauberkeit , Ordnung und Freundlichkeit brauche ich hier nicht zu erwähnen , denn das gehört für mich zu dem Standard , der aber auch noch übertroffen wird .","NOUN PUNCT NOUN CCONJ NOUN VERB PRON ADV PART PART VERB PUNCT SCONJ PRON VERB ADP PRON ADP DET NOUN PUNCT PRON ADV ADV ADV VERB AUX PUNCT"
"Physiotherapie ist zwar oftmals auch anstrengend , aber in dieser Umgebeung freut man sich auf jede Minute Behandlung .","NOUN AUX ADV ADV ADV ADJ PUNCT CCONJ ADP DET NOUN VERB PRON PRON ADP DET NOUN NOUN PUNCT"
"Das nächste mal rief ich extra vorher an , um einen Termin zu vereinbaren , damit der Konditor auch Zeit für uns hätte .","DET ADJ NOUN VERB PRON ADV ADV ADP PUNCT ADP DET NOUN PART VERB PUNCT SCONJ DET NOUN ADV NOUN ADP PRON VERB PUNCT"
"Eine Stunde später gab man uns dann endlich einen Tisch , der allerdings noch nicht einmal abgeräumt war .","DET NOUN ADV VERB PRON PRON ADV ADV DET NOUN PUNCT PRON ADV ADV PART ADV VERB AUX PUNCT"
"Die Bedienung verschwand sofort wieder und kam auch erstmal nicht mehr .","DET NOUN VERB ADV ADV CCONJ VERB ADV ADV PART ADV PUNCT"
"nach fast einer weiteren Stunde , nachdem sich mein Verlobter mehrmals erkundigt und zuletzt sogar beschwert hatte kam endlich der Konditor .","ADP ADV DET ADJ NOUN PUNCT SCONJ PRON DET NOUN ADV VERB CCONJ ADV ADV VERB AUX VERB ADV DET NOUN PUNCT"
"Jemand unfreundlicheres ist mir in meinem ganzen Leben noch nicht begegnet !","PRON ADJ AUX PRON ADP DET ADJ NOUN ADV PART VERB PUNCT"
"Das war der Punkt an dem wir hätten gehen sollen .","PRON AUX DET NOUN ADP PRON PRON AUX VERB AUX PUNCT"
"Aber da es mittlerweile nur noch 3 Wochen bis zu der Hochzeit waren und wir keinen anderen Konditor wussten , blieben wir .","CCONJ SCONJ PRON ADV ADV ADV NUM NOUN ADP ADP DET NOUN AUX CCONJ PRON DET DET NOUN VERB PUNCT VERB PRON PUNCT"
"Das einzig positive was man sagen kann war das sie geschmeckt hat , aber rein optisch hätte es meine kleine Schwester wirklich besser gemacht !","DET ADJ NOUN PRON PRON VERB AUX VERB SCONJ PRON VERB AUX PUNCT CCONJ ADV ADV AUX PRON DET ADJ NOUN ADV ADV VERB PUNCT"
"Für eine 300 Euro teuere Torte von einem angeblichen Meisterkonditor war das einfach nur furchtbar -- die gelieferte Torte hatte keinerlei Ähnlichkeit mit dem Bild der Torte die wir haben wollten ( welches wir ihm ja überlassen hatten ) .","ADP DET NUM PROPN ADJ NOUN ADP DET ADJ NOUN AUX PRON ADV ADV ADJ PUNCT DET ADJ NOUN VERB DET NOUN ADP DET NOUN DET NOUN PRON PRON AUX VERB PUNCT DET PRON PRON ADV VERB AUX PUNCT PUNCT"
"Unser Fazit : Nie wieder Café Bleich !","DET NOUN PUNCT ADV ADV PROPN PROPN PUNCT"
"War das erste Mal mit Ueberzeugung in dem Waschsalon , die ich vorher immer gemieden habe , da ein anderer Laden in Bremerhaven nie wirklich einladend wirkte .","VERB DET ADJ NOUN ADP NOUN ADP DET NOUN PUNCT PRON PRON ADV ADV VERB AUX PUNCT SCONJ DET DET NOUN ADP PROPN ADV ADV ADJ VERB PUNCT"
"Ich wurde überzeugt , dass Waschsalons auch einfach prima , hell , sauber und freundlich sein können .","PRON AUX VERB PUNCT SCONJ NOUN ADV ADV ADJ PUNCT ADJ PUNCT ADJ CCONJ ADJ AUX AUX PUNCT"
"Dienstleistung und Beratung wird wirklich gross geschrieben :-)","NOUN CCONJ NOUN AUX ADV ADJ VERB PUNCT"
"Fachlich kompetent , sehr gute Beratung und ein freundliches Team .","ADV ADJ PUNCT ADV ADJ NOUN CCONJ DET ADJ NOUN PUNCT"
"Beiden Zahnärzten verdanke ich einen neuen Biss und dadurch endlich keine Rückenschmerzen mehr .","DET NOUN VERB PRON DET ADJ NOUN CCONJ ADV ADV DET NOUN ADV PUNCT"
"Vielen Dank !","DET NOUN PUNCT"
"Gutbürgerliche Küche von einem Koch der sein Handwerk noch versteht","ADJ NOUN ADP DET NOUN PRON DET NOUN ADV VERB"
"Der Firma liegt genau an dem Ortseingang .","DET NOUN VERB ADV ADP DET NOUN PUNCT"
"Ist einer der besten Restaurationsbetriebe den ich finden konnte .","VERB DET DET ADJ NOUN PRON PRON VERB AUX PUNCT"
"Top Qualität","ADJ NOUN"
"Hier gibt es die beste Wurst in ganz Thüringen ! !","ADV VERB PRON DET ADJ NOUN ADP ADJ PROPN PUNCT PUNCT"
"Wir sind seit vielen Jahren Mandanten der Rechtsanwälte Ruland und wurden immer optimal in bei unseren Probleme und Anliegen unterstützt .","PRON AUX ADP DET NOUN NOUN DET NOUN PROPN CCONJ AUX ADV ADV ADP ADP DET NOUN CCONJ NOUN VERB PUNCT"
"Nett , freundlich und sehr kompetent .","ADJ PUNCT ADJ CCONJ ADV ADJ PUNCT"
"Fühlte mich sehr gut aufgehoben .","VERB PRON ADV ADV ADJ PUNCT"
"Nicht nur anmaßend und menschenverachtend , sondern auch arrogant und absolut nicht medizinsch und fachlich ! !","PART ADV ADJ CCONJ ADJ PUNCT CCONJ ADV ADJ CCONJ ADV PART ADJ CCONJ ADJ PUNCT PUNCT"
"Achtung da macht wohl jemand auf die Kosten der Patienten seine ganz eigene Politik oder besser gesagt Show ! !","NOUN ADV VERB ADV PRON ADP DET NOUN DET NOUN DET ADV ADJ NOUN CCONJ ADV VERB NOUN PUNCT PUNCT"
"! War ein wenig verschreckt durch die eine schlechte Bewertung hier auf dieser Seite , traute mich allerdings trotzdem dahin , mitsamt Freundin zu dem normalen Haareschneiden .","PUNCT AUX DET ADV ADJ ADP DET DET ADJ NOUN ADV ADP DET NOUN PUNCT VERB PRON ADV ADV ADV PUNCT ADP NOUN ADP DET ADJ NOUN PUNCT"
"Der Friseursalon ist mit dem Bus sehr gut zu erreichen .","DET NOUN VERB ADP DET NOUN ADV ADV PART VERB PUNCT"
"Terminfestlegung an dem Vortag war kein Problem ; keine Wartezeiten .","NOUN ADP DET NOUN AUX DET NOUN PUNCT DET NOUN PUNCT"
"Die Mitarbeiter waren sehr freundlich und es herrschte eine nette Stimmung in dem ganzen Salon .","DET NOUN AUX ADV ADJ CCONJ PRON VERB DET ADJ NOUN ADP DET ADJ NOUN PUNCT"
"Das Haareschneiden war auch schnell erledigt -- in dem Anschluss gab es sogar einen Kaffee --","DET NOUN AUX ADV ADV VERB PUNCT ADP DET NOUN VERB PRON ADV DET NOUN PUNCT"
"Die Arbeiten von Team VK sind nicht nur schön , sondern sind auch effektiv und führen zu dem Erfolg .","DET NOUN ADP PROPN PROPN AUX PART ADV ADJ PUNCT CCONJ AUX ADV ADJ CCONJ VERB ADP DET NOUN PUNCT"
"Zielorientiert .","ADJ PUNCT"
"So profitiert nicht nur die Agentur , sondern in erster Linie der Kunde .","ADV VERB PART ADV DET NOUN PUNCT CCONJ ADP ADJ NOUN DET NOUN PUNCT"
"Hier ist Marketing eine Investition die sich auch auszahlt !","ADV AUX NOUN DET NOUN PRON PRON ADV VERB PUNCT"
"War jetzt in fast allen Tabledance Clubs in München wobei ich sagen muss , dass der neu eröffnete Laden Blackboxxx für Männer der mit Abstand beste Laden ist .","VERB ADV ADP ADV DET PROPN NOUN ADP PROPN ADV PRON VERB AUX PUNCT SCONJ DET ADV ADJ NOUN PROPN ADP NOUN DET ADP NOUN ADJ NOUN AUX PUNCT"
"Die Preise sind ok und die Frauen mindestens genau so hübsch wie in dem boobs , wo die Preise leider sehr unverschämt sind ...","DET NOUN AUX ADJ CCONJ DET NOUN ADV ADV ADV ADJ SCONJ ADP DET PROPN PUNCT ADV DET NOUN ADV ADV ADJ AUX PUNCT"
"Die Stuttgarter Volksbank Homepage ist übersichtlich und von dem Design erste Klasse .","DET PROPN PROPN PROPN AUX ADJ CCONJ ADP DET NOUN ADJ NOUN PUNCT"
"Finden kann man wirklich alles was man sucht .","VERB AUX PRON ADV DET PRON PRON VERB PUNCT"
"Sollte man was üer die Navigation nicht finden , so läßt sich ein bestimmtes Bankprodukt oder Information schnell über die Suchfunktion finden .","AUX PRON PRON ADP DET NOUN PART VERB PUNCT SCONJ VERB PRON DET ADJ NOUN CCONJ NOUN ADV ADP DET NOUN VERB PUNCT"
"Eine echt gelungene Seite .","DET ADV ADJ NOUN PUNCT"
"Ich war schon in vielen Cafés in aller Herren Länder , aber mit diesen herrlichen Torten und Kuchen muss sich das Café an dem Rosengarten vor keinem davon verstecken .","PRON VERB ADV ADP DET NOUN ADP DET NOUN NOUN PUNCT CCONJ ADP DET ADJ NOUN CCONJ NOUN AUX PRON DET NOUN ADP DET PROPN ADP DET ADV VERB PUNCT"
"Von aussen unscheinbar , schlicht und nicht in der besten Lage , aber die Kuchen und Torten sind dafür umso scheinbarer und leckerer .","ADP ADV ADJ PUNCT ADJ CCONJ PART ADP DET ADJ NOUN PUNCT CCONJ DET NOUN CCONJ NOUN AUX ADV ADV ADJ CCONJ ADJ PUNCT"
"Das Sushi schmeckt immer hervorragend .","DET NOUN VERB ADV ADJ PUNCT"
"Unbedingt mal ausprobieren ! ! ! !","ADV ADV VERB PUNCT PUNCT PUNCT PUNCT"
"Das Angebot ist reichlich und unerwartet vielseitig !","DET NOUN AUX ADJ CCONJ ADV ADJ PUNCT"
"Die Bedienung war sehr aufmerksam und schnell .","DET NOUN AUX ADV ADJ CCONJ ADJ PUNCT"
"Dabei sitzt man drinnen wie draußen in angenehm freundlicher und ruhiger Umgebung .","ADV VERB PRON ADV CCONJ ADV ADP ADV ADJ CCONJ ADJ NOUN PUNCT"
"Ein lohnendes Sonntagsvergnügen !","DET ADJ NOUN PUNCT"
"Neubau für viele Schulklassen vorhanden , also alles in Einwandfreiem Zustand .","NOUN ADP DET NOUN ADJ PUNCT ADV DET ADP ADJ NOUN PUNCT"
"Ein hervorragender Schulgarten in dem die Schüler einiges über die Natur lernen können .","DET ADJ NOUN ADP PRON DET NOUN DET ADP DET NOUN VERB AUX PUNCT"
"Das Bild auf Google Maps ist veraltet !","DET NOUN ADP PROPN PROPN AUX ADJ PUNCT"
"Diese Schule ist schon lange keine Bauststelle mehr !","DET NOUN AUX ADV ADV DET NOUN ADV PUNCT"
"Positiv : Schöne Zimmer , alles sauber , freundliches personal , gut eingerichtet .","ADJ PUNCT ADJ NOUN PUNCT DET ADJ PUNCT ADJ NOUN PUNCT ADV ADJ PUNCT"
"In dem April 09 hat mir meine Frau zu dem Geburtstag ein Seminar in dem Hotel Sonnenstrahl geschenkt .","ADP DET PROPN NUM AUX PRON DET NOUN ADP DET NOUN DET NOUN ADP DET PROPN PROPN VERB PUNCT"
"Die Unterbringung in dem Doppelzimmer hat sie mir gleich mit dazugeschenkt -- als Überraschung .","DET NOUN ADP DET NOUN AUX PRON PRON ADV ADV VERB PUNCT ADP NOUN PUNCT"
"Leider ist das Seminarhotel eine Entäuschung .","ADV AUX DET NOUN DET NOUN PUNCT"
"Die Zimmer sind total heruntergekommen , ungepflegt , veraltete Einrichtung , harte Matrazen und verwohnt .","DET NOUN AUX ADV ADJ PUNCT ADJ PUNCT ADJ NOUN PUNCT ADJ NOUN CCONJ ADJ PUNCT"
"Das Hotel war wohl mal ein Sanatorium oder Krankenhaus und die Zimmer wurden nahezu unverändert übernommen .","DET NOUN AUX ADV ADV DET NOUN CCONJ NOUN CCONJ DET NOUN AUX ADV ADV VERB PUNCT"
"Wie sich so eine Unterkunft als 3 Sterne Unterkunft bezeichnen darf ist mir ein Rätsel .","ADV PRON ADV DET NOUN ADP NUM NOUN NOUN VERB AUX AUX PRON DET NOUN PUNCT"
"Wir haben uns übrigens 3 verschiedene Zimmer angesehen und alle waren eine Katastrophe .","PRON AUX PRON ADV NUM ADJ NOUN VERB CCONJ DET AUX DET NOUN PUNCT"
"Wir haben uns mehrfach bei dem Personal beschwert -- das Bett wurde zwar mit einer weiteren Matraze ausgestattet aber das hat nix gebracht .","PRON AUX PRON ADV ADP DET NOUN VERB PUNCT DET NOUN AUX ADV ADP DET ADJ NOUN VERB CCONJ PRON AUX PRON VERB PUNCT"
"Bei der Abreise kam dann noch die böse Überraschung in Form von extrem überhöhten Übernachtungspreisen .","ADP DET NOUN VERB ADV ADV DET ADJ NOUN ADP NOUN ADP ADV ADJ NOUN PUNCT"
"Nach langem Suchen endlich den richtigen gefunden ! ! !","ADP ADJ NOUN ADV DET NOUN VERB PUNCT PUNCT PUNCT"
"Ich bin seit fast 5 Jahren auf der Suche nach jemanden gewesen , der mich nicht über das Ohr hauen wollte .","PRON VERB ADP ADV NUM NOUN ADP DET NOUN ADP PRON AUX PUNCT PRON PRON PART ADP DET NOUN VERB AUX PUNCT"
"Und dann bin ich auf Empfehlung einer sehr guten Freundin nach Dortmund gefahren um mich dort von Herrn Knauff behandeln zu lassen und kann nur sagen , dass das die beste Entscheidung gewesen ist .","CCONJ ADV AUX PRON ADP NOUN DET ADV ADJ NOUN ADP PROPN VERB ADP PRON ADV ADP NOUN PROPN VERB PART VERB CCONJ AUX ADV VERB PUNCT SCONJ PRON DET ADJ NOUN AUX AUX PUNCT"
"Vielen Vielen Dank für die super professionelle Arbeit .","DET DET NOUN ADP DET ADV ADJ NOUN PUNCT"
"Ich bin seit 3 Sitzungen in Behandlung und ich fühle mich super gut aufgehoben .","PRON VERB ADP NUM NOUN ADP NOUN CCONJ PRON VERB PRON ADV ADV ADJ PUNCT"
"Eine super professionelle Beratung und Risikoaufklärung , die nicht darauf abzielt das meiste Geld zu machen , sondern effektiv zu arbeiten .","DET ADV ADJ NOUN CCONJ NOUN PUNCT PRON PART ADV VERB DET DET NOUN PART VERB PUNCT CCONJ ADV PART VERB PUNCT"
"Das Team ist super nett , ich fühle mich sehr gut aufgeboben und der Wohlfühlfaktor ist zu 100 % gegeben .","DET NOUN AUX ADV ADJ PUNCT PRON VERB PRON ADV ADV ADJ CCONJ DET NOUN AUX ADP NUM X VERB PUNCT"
"Ich bin sehr zufrieden !","PRON AUX ADV ADJ PUNCT"
"Auf jeden Fall zu empfehlen !","ADP DET NOUN PART VERB PUNCT"
"Besonders die professionelle Beratung und die individuell angepassten Behandlungen enstrechen dem was ich unter bester Dienstleistngsqualität verstehe .","ADV DET ADJ NOUN CCONJ PRON ADJ ADJ NOUN VERB PRON PRON PRON ADP ADJ NOUN VERB PUNCT"
"Meine Erfahrung sagt : Sehr zu empfehlen .","DET NOUN VERB PUNCT ADV PART VERB PUNCT"
"Dortmunds erste Wahl für dauerhafte Haarentfernung und Wellness .","NOUN ADJ NOUN ADP ADJ NOUN CCONJ NOUN PUNCT"
"Der mechanische Trackpad - Klick meines Macbook Pro funktionierte eines Tages nicht mehr .","DET ADJ NOUN PUNCT NOUN DET PROPN PROPN VERB DET NOUN PART ADV PUNCT"
"Das Personal ist sehr nett und versuchen einem gleich zu helfen .","DET NOUN AUX ADV ADJ CCONJ VERB DET ADV PART VERB PUNCT"
"Sehr beruhigend ein solches Geschäft in der Nähe zu haben ...","ADV ADJ DET DET NOUN ADP DET NOUN PART VERB PUNCT"
"Was für eine Bruchbude ..","PRON ADP DET NOUN PUNCT"
"Das Hotel sah aus als wäre es kurz davor abgerissen zu werden .","DET NOUN VERB ADP SCONJ AUX PRON ADV ADV VERB PART AUX PUNCT"
"Leider habe ich die anderen beiden Bewertungen zu spät gesehen und gebucht , da ich dringend ein Hotel in der Gegend brauchte und der Preis ok war .","ADV AUX PRON DET DET DET NOUN ADV ADV VERB CCONJ VERB PUNCT SCONJ PRON ADV DET NOUN ADP DET NOUN VERB CCONJ DET NOUN ADJ AUX PUNCT"
"Nun weis ich warum .","ADV VERB PRON ADV PUNCT"
"Kurze Wartezeiten und Arbeiten die selbst andere Zahnärzte bewundern .","ADJ NOUN CCONJ NOUN PRON ADV DET NOUN VERB PUNCT"
"Leider nur Privat Patienten .","ADV ADV ADJ NOUN PUNCT"
"Pizza hat die Qualität eines besseren Tiefkühlproduktes aus dem Supermarkt .","NOUN VERB DET NOUN DET ADJ NOUN ADP DET NOUN PUNCT"
"Der Salat ist mit einem mayonnaiselastigem Dressing verunstaltet .","DET NOUN AUX ADP DET ADJ NOUN ADJ PUNCT"
"Die Pizzen schmecken nicht wirklich gut das meiste scheint aus der Dose zu kommen .","DET NOUN VERB PART ADV ADJ DET DET VERB ADP DET NOUN PART VERB PUNCT"
"In dem italienischen Restaurant Pinnocchio kann man nicht nur wunderbar Pizza essen , auch alle anderen Gerichte schmecken hervorragend .","ADP DET ADJ NOUN PROPN AUX PRON PART CCONJ ADV NOUN VERB PUNCT CCONJ DET DET NOUN VERB ADJ PUNCT"
"Die Preise sind akzeptabel und für die Gegend absolut üblich .","DET NOUN AUX ADJ CCONJ ADP DET NOUN ADV ADJ PUNCT"
"So ist das Restaurant auch familienfreundlich .","ADV AUX DET NOUN ADV ADJ PUNCT"
