"text","label"
"R.H. Saunders ( St. Lawrence River ) ( 968 MW )","B-ORG I-ORG O B-ORG I-ORG I-ORG O O O O O"
"; ' '' Anders Lindström '' '","O O O B-PER I-PER O O"
"Karl Ove Knausgård ( born 1968 )","B-PER I-PER I-PER O O O O"
"Atlantic City , New Jersey","B-LOC I-LOC I-LOC I-LOC I-LOC"
"Her daughter from the second marriage was Marie d'Agoult ( 1805–1876 ) , who in turn gave birth to several children , among them—from her liaison to Franz Liszt –- Cosima Wagner ( 1837–1930 ) .","O O O O O O O B-PER I-PER O O O O O O O O O O O O O O O O O O B-PER I-PER O B-PER I-PER O O O O"
"St. Mary 's Catholic Church ( Sandusky , Ohio )","B-ORG I-ORG I-ORG I-ORG I-ORG I-ORG I-ORG I-ORG I-ORG I-ORG"
"Shhh ... Do n't Tell ''","B-ORG I-ORG I-ORG I-ORG I-ORG O"
"Antonín Rýgr ( 1970–72 )","B-PER I-PER O O O"
"*Inducted into the United States Hockey Hall of Fame in 2015","O O O B-ORG I-ORG I-ORG I-ORG I-ORG I-ORG O O"
"Dia Evtimova Catalina Castaño Dinah Pfizenmaier Tatjana Malek","B-PER I-PER B-PER I-PER B-PER I-PER B-PER I-PER"
"102.7 MHz Triple J – ABC","O O B-ORG I-ORG O B-ORG"
"*20px Idaho State Highway 5","O B-ORG I-ORG I-ORG I-ORG"
"'' Atelocentra '' Meyrick , 1884","O B-LOC O O O O"
"' '' Antarctic prion '' '","O O B-LOC I-LOC O O"
"James Franco ( M.F.A .","B-PER I-PER O O O"
"Prince Albert Victor , Duke of Clarence and Avondale","B-PER I-PER I-PER I-PER I-PER I-PER I-PER I-PER I-PER"
"How to Get Away with Murder ''","B-ORG I-ORG I-ORG I-ORG I-ORG I-ORG O"
"Durrães e Tregosa","B-LOC I-LOC I-LOC"
"Brent Cross tube station","B-ORG I-ORG I-ORG I-ORG"
"First recorded in the Serranía de las Quinchas on January 17 , 2006 .","O O O O B-LOC I-LOC I-LOC I-LOC O O O O O O"
"Civic Freedom Party","B-ORG I-ORG I-ORG"
"キイロキリガ — Xanthia togata '' ( Esper , 1788 )","O O B-LOC I-LOC O O O O O O"
"*August 8 – Craig Breslow","O O O B-PER I-PER"
"He has also won the Japan Senior Open twice .","O O O O O B-ORG I-ORG I-ORG O O"
"His great-grandson is director Whit Stillman .","O O O O B-PER I-PER O"
"'' ' '' Chauliodus '' ' ''","O O O B-ORG O O O"
"Janaki]] , S. P. Balasubrahmanyam","O O B-PER I-PER I-PER"
": ' '' Thornhill Islanders '' ' defeated Markham Waxers ''4-games-to-3 ''","O O O B-ORG I-ORG O O O B-ORG I-ORG O O"
"Obituary of Juliette Peirce .","O O B-PER I-PER O"
"78 '' in Osnabrück .","O O O B-LOC O"
"Gian Girolamo Albani","B-PER I-PER I-PER"
"`` Rhinestone Cowboy '' ( Larry Weiss ) - 3:15","O B-ORG I-ORG O O B-PER I-PER O O O"
"*Episode 9 - Michael Conlan","O O O B-PER I-PER"
