"text","label"
"als Teil der Savoyer Voralpen im Osten .","O O O B-LOC I-LOC O O O"
"WEITERLEITUNG Antonina Wladimirowna Kriwoschapka","O B-PER I-PER I-PER"
"** '' Lou Salomé '' .","O O B-PER I-PER O O"
"Spieler vom SKA Sankt Petersburg ausgewählt sowie anschließend im NHL Entry Draft in der ersten Runde als insgesamt zehnter Spieler von den Minnesota Wild .","O O B-ORG I-ORG I-ORG O O O O B-ORG I-ORG I-ORG O O O O O O O O O O B-ORG I-ORG O"
"Jaan Kirsipuu 74 P .","B-PER I-PER O O O"
"Weiterleitung René Schick Gutiérrez","O B-PER I-PER I-PER"
"*** ' '' Brandenburg '' '","O O O B-ORG O O"
"' '' Bagan '' '","O O B-LOC O O"
"Gedenktafel für Andrej Sládkovič","O O B-PER I-PER"
"Friedrichsaue]] '' ' , ' '' Zechin '' '","O O O O O O B-LOC O O"
"Transports publics Vevey–Montreux–Chillon–Villeneuve","B-ORG I-ORG I-ORG"
"Bedeutende österreichische Schlossparke gehören z .","O B-LOC O O O O"
"Seinen Militärdienst beendete er als Fähnrich .","O O O O O B-ORG O"
"1283–1287 Jean I. de Grailly","O B-PER I-PER I-PER I-PER"
"Er stand unter anderem zusammen mit Capleton und Bounty Killer auf einer Bühne .","O O O O O O B-PER O B-PER I-PER O O O O"
"2001 kam er zu SV Austria Salzburg , wo er zwei Spiele absolvierte .","O O O O B-ORG I-ORG I-ORG O O O O O O O"
"York University , Toronto , Kanada","B-ORG I-ORG O B-LOC O B-LOC"
"' '' Aksumitisches Reich '' '","O O B-LOC I-LOC O O"
"3:57,22 min , Bukarest , 1 .","O O O B-LOC O O O"
"In dieser Zeit lernte er Goze Deltschew kennen .","O O O O O B-PER I-PER O O"
"Die Hauptrolle übernahm Heinz Erhardt .","O O O B-PER I-PER O"
"United States Army Signal Corps","B-ORG I-ORG I-ORG I-ORG I-ORG"
"*** ' '' Hessen-Kassel '' '","O O O B-LOC O O"
"Währenddessen hat des Weiße Haus den Befehl gegeben , US-Bürger zu evakuieren .","O O O B-ORG I-ORG O O O O O O O O"
"Dort unterlagen sie trotz Führung den Israelis Jonathan Erlich und Andy Ram .","O O O O O O O B-PER I-PER O B-PER I-PER O"
"Aufsteiger in die Liga 1 waren Ceahlăul Piatra Neamț , CS Concordia Chiajna , Petrolul Ploiești , CS Mioveni und CSU Voința Sibiu .","O O O B-ORG I-ORG O B-ORG I-ORG I-ORG O B-ORG I-ORG I-ORG O B-ORG I-ORG O B-ORG I-ORG O B-ORG I-ORG I-ORG O"
"Zusammenarbeit mit John Barbirolli , Adrian Boult und Yehudi Menuhin veröffentlichte .","O O B-PER I-PER O B-PER I-PER O B-PER I-PER O O"
"Tagmersheim , 1069 Einwohner , 15,93 km²","B-LOC O O O O O O"
"Es war vor allem auf den Schallplattenversand spezialisiert und betrieb später auch Plattenläden .","O O O O O O B-ORG O O O O O O O"
"Folgende Tabelle vergleicht zwei Gruppen von Männern aus Oakland .","O O O O O O O O B-LOC O"
"Joseph Ferdinand Maria von Salern","B-PER I-PER I-PER I-PER I-PER"
"Mit ihr und ihren zwei gemeinsamen Kindern lebt er in London und Suffolk .","O O O O O O O O O O B-LOC O B-LOC O"
"In den dazwischen liegenden vier Jahren war er für den Club Universidad de Guadalajara tätig .","O O O O O O O O O O B-ORG I-ORG I-ORG I-ORG O O"
"Ihren Hauptsitz hat die Kette in Greenwood Village .","O O O O O O B-LOC I-LOC O"
"WEITERLEITUNG Michael R. Clifford","O B-PER I-PER I-PER"
"WEITERLEITUNG William W. Crapo","O B-PER I-PER I-PER"
"1 - teilweise im Lake of the Woods County","O O O O B-LOC I-LOC I-LOC I-LOC I-LOC"
"Das Mandat hielt sein Parteikollege Ernie Ross .","O O O O O B-PER I-PER O"
"Verdienstorden des Landes Rheinland-Pfalz","B-ORG I-ORG I-ORG I-ORG"
"Sie ist in Südafrika beheimatet .","O O O B-LOC O O"
"** ' '' Goguryeo '' '","O O O B-LOC O O"
"Das Khanat Astrachan spaltet sich von der Goldenen Horde ab .","O B-ORG I-ORG O O O O B-ORG I-ORG O O"
"'' Süddeutsche Zeitung Nr .","O B-ORG I-ORG O O"
"Spiel ohne Grenzen","B-ORG I-ORG I-ORG"
"Zur Saison 2013 / 14 ging er zum Drittligisten Hallescher FC , bei dem er einen Zweijahresvertrag erhielt .","O B-LOC I-LOC I-LOC I-LOC O O O B-ORG B-ORG I-ORG O O O O O O O O"
"Regie führte ihr damaliger Ehemann Hubert Moest .","O O O O O B-PER I-PER O"
"Sitz der Gemeindeverwaltung ist KwaDukuza .","O O O O B-LOC O"
"Jegor Wladimirowitsch Milowsorow","B-PER I-PER I-PER"
"Chin Eei Hui / Wong Pei Tty","B-PER I-PER I-PER O B-PER I-PER I-PER"
"Er war aber die klare Nummer 3 hinter Edwin van der Sar und Ed de Goey , und kam so nie zu einem Einsatz .","O O O O O O O O B-PER I-PER I-PER I-PER O B-PER I-PER I-PER O O O O O O O O O"
"Er brach das Studium nach drei Semestern ab und schlug die Offizierslaufbahn ein .","O O O O O O O O O O O B-PER O O"
"' '' Estland '' '","O O B-LOC O O"
"' '' Calvin Harris '' ' feat .","O O B-PER I-PER O O O O"
"Eine neue Strecke nach Chipata / Mchinji in Malawi soll gebaut werden .","O O O O B-LOC O B-LOC O B-LOC O O O O"
"Die neue Stadt liegt an der Úslava etwa zehn Kilometer stromabwärts vom bisherigen regionalen Verwaltungszentrum , das den Namen Alt-Pilsen erhält .","O O O O O O B-LOC O O O O O O O O O O O O B-LOC O O"
"An der Stelle befindet sich das heutige Kalamata .","O O O O O O O B-LOC O"
"Mehrfach posierten sie für den Playboy-Titel .","O O O O O B-ORG O"
"Diese als Eglinton Crosstown Line bezeichnete Strecke soll in der ersten Etappe 19 km lang sein und bis nach Kennedy im Stadtteil Scarborough führen .","O O B-ORG I-ORG I-ORG O O O O O O O O O O O O O O B-ORG O O B-ORG O O"
"Heilige Berge in China","B-LOC I-LOC I-LOC I-LOC"
"Die Gegend heißt bis heute Murray Hill .","O O O O O B-LOC I-LOC O"
"=== North East England ===","O B-LOC I-LOC I-LOC O"
"Bei den Europaspielen 2015 in Baku gewann er die Goldmedaille .","O O B-ORG I-ORG O B-LOC O O O O O"
"In dieser Zeit wurde sie auch in der Bürgerrechtsbewegung aktiv .","O O O O O O O O B-ORG O O"
"Sie verkaufte den Besitz noch im selben Jahre an Joseph-Niklas zu Windisch-Graetz .","O O O O O O O O O B-PER I-PER I-PER O"
"Von architektonischem Interesse sind weiterhin einige Bauten von Alvar Aalto im Gemeindezentrum .","O O O O O O O O B-PER I-PER O O O"
"Minute für Heinrich Schmidtgal eingewechselt wurde .","O O B-PER I-PER O O O"
"Boxholm , Schweden seit dem 13 .","B-LOC O B-LOC O O O O"
"Er kam dort im Papiergewicht hinter Oleg Kutscherenko aus der Sowjetunion auf den 2 .","O O O O O O B-PER I-PER O O B-LOC O O O O"
"Paolo Roberto ist im Buch ein berühmter Schwergewichtsboxer .","B-PER I-PER O O O O O O O"
"Dies hat ihn aber nicht daran gehindert , seine Rechte und Pflichten gegenüber kirchlichen Institutionen wie dem Kloster Pfäfers weiterhin auszuüben .","O O O O O O O O O O O O O O O O O B-ORG I-ORG O O O"
"Er gehört der CDU an .","O O O B-ORG O O"
"WEITERLEITUNG Arc de Triomphe de l’Étoile","O B-ORG I-ORG I-ORG I-ORG I-ORG"
"In der Konstrukteurswertung führte Ferrari mit 10 Punkten Vorsprung auf McLaren-Mercedes und mit 28 Punkten auf Williams-BMW .","O O O O B-ORG O O O O O B-ORG O O O O O B-ORG O"
"Im Norden an Weinsheim ,","O O O B-LOC O"
"Peter Märthesheimer , Pea Fröhlich","B-PER I-PER O B-PER I-PER"
"WEITERLEITUNG Edsger W. Dijkstra","O B-PER I-PER I-PER"
"Beenhakkers Nachfolge trat sein Landsmann Wim Rijsbergen an .","O O O O O B-PER I-PER O O"
"WEITERLEITUNG Ted Lewis ( Boxer )","O B-PER I-PER I-PER I-PER I-PER"
"Jahrhunderts bis zur Nguyễn-Dynastie Mitte des 20 .","O O O B-ORG O O O O"
"*** ' '' Erzstift Trier '' '","O O O B-ORG I-ORG O O"
"' '' Andorra '' '","O O B-LOC O O"
"Er liegt im Nordosten des Staates im Cook County .","O O O O O O O B-LOC I-LOC O"
"In der Nähe befindet sich der Sibi Kuroto Forest Park .","O O O O O O B-ORG I-ORG I-ORG I-ORG O"
"Jedes Spiel wird von einem Schiedsrichter geleitet , der die Einhaltung der Regeln überwacht .","O O O O O B-PER O O O O O O O O O"
"Ihr Sitz ist Berlin .","O O O B-LOC O"
"Er gewann Ernest Rutherford als Präsidenten und Archibald Vivian Hill als Vizepräsidenten .","O O B-PER I-PER O O O B-PER I-PER I-PER O O O"
"Wilhelmus Joannes Demarteau","B-PER I-PER I-PER"
"Bündnis 90 / Die Grünen","B-ORG I-ORG I-ORG I-ORG I-ORG"
"Seit Innozenz X . gingen die politischen Funktionen ab 1644 allmählich auf den Kardinalstaatssekretär über .","O B-PER I-PER I-PER O O O O O O O O O B-PER O O"
"WEITERLEITUNG Warschauer Gesellschaft der Freunde der Wissenschaften","O B-ORG I-ORG I-ORG I-ORG I-ORG I-ORG"
"Zwei Kirchengemeinden liegen im Landkreis Oldenburg .","O O O O B-LOC I-LOC O"
"Hohenfels ( bei Stockach )","B-LOC I-LOC I-LOC I-LOC I-LOC"
"Anschließend wurde er für neun Monate ins Gefängnis Maze Prison bis zum 12 .","O O O O O O O O B-ORG I-ORG O O O O"
"Er lebt in Berlin .","O O O B-LOC O"
"Er liegt in den westlich der Innenstadt gelegenen Stadtteilen Bockenheim und Rödelheim .","O O O O O O O O O B-LOC O B-LOC O"
"Er wechselte nach Frankreich zum AS Béziers , wo er jedoch auch nur kurze Zeit blieb .","O O O B-LOC O B-ORG I-ORG O O O O O O O O O O"
"Mohammad Bagher Ghalibaf","B-PER I-PER I-PER"
"Alan Hale , Jr .","B-PER I-PER I-PER I-PER I-PER"
"Benjamin Franklin '' , Wachsporträt","B-PER I-PER O O O"
"Gustavo César Veloso","B-PER I-PER I-PER"
"' '' Lucciana '' '","O O B-LOC O O"
"' '' Silkeborg IF '' '","O O B-ORG I-ORG O O"
"Das ist nicht die ganze Wahrheit …","B-ORG I-ORG I-ORG I-ORG I-ORG I-ORG I-ORG"
"Bis 1658 gehörten das unmittelbar angrenzende Bohuslän im Norden und Halland im Süden zu Dänemark-Norwegen .","O O O O O O B-LOC O O O B-LOC O O O B-LOC O"
"Papst Paul VI . ernannte ihn am 20 .","B-LOC B-PER I-PER I-PER O O O O O"
"Viele andere Projekte , wie der BRM P351 blieben Stückwerk .","O O O O O O B-ORG I-ORG O O O"
"Ein paar Jahre später , 1985 , auch in Seoul , Korea .","O O O O O O O O O B-LOC O B-LOC O"
"Erst erneute Grabungen , die 1995 unter der Leitung von Zahi Hawass begannen , konnten dies bestätigen .","O O O O O O O O O O B-PER I-PER O O O O O O"
"Hermann Stehr – Seine dichterische Welt und ihre Probleme '' .","B-PER I-PER O O O O O O O O O"
"Weiterleitung W. Howard Greene","O B-PER I-PER I-PER"
"' '' Estremoz '' '","O O B-LOC O O"
"Varize ( Moselle )","B-LOC I-LOC I-LOC I-LOC"
"' '' Nicaragua '' '","O O B-LOC O O"
"Es gab hier Live-Aufzeichnungen unter anderem mit Jim Capaldi , Eric Burdon , Meat Loaf , und James Belushi .","O O O O O O O B-PER I-PER O B-PER I-PER O B-PER I-PER O O B-PER I-PER O"
"Unter ihnen werden im Laufe der Jahre so berühmte Namen wie Jessye Norman , Jacqueline du Pré und Jewgeni Kissin sein .","O O O O O O O O O O O B-PER I-PER O B-PER I-PER I-PER O B-PER I-PER O O"
"Francisco Mancebo , 12 P .","B-PER I-PER O O O O"
"WEITERLEITUNG Erste Allgemeine Verunsicherung","O B-ORG I-ORG I-ORG"
"Das Stadtzentrum liegt auf einer Höhe von und ist 28 Kilometer von Spišská Nová Ves sowie 45 Kilometer von Košice entfernt .","O O O O O O O O O O O O B-LOC I-LOC I-LOC O O O O B-LOC O O"
"Marco Fabián , Omar Bravo","B-PER I-PER O B-PER I-PER"
"dem von La Vey , gemeinsam [hat]“ .","O O B-PER I-PER O O O O"
"' '' Will.i.am '' ' feat .","O O B-PER O O O O"
"Höhepunkte seiner Amtszeit waren die Besuche von Königin Margrethe II . 1986 und der Bundespräsidenten Walter Scheel 1979 und Richard von Weizsäcker 1989 .","O O O O O O O B-PER I-PER I-PER I-PER O O O B-PER B-PER I-PER O O B-PER I-PER I-PER O O"
"Ankara , Antalya , Istanbul","B-LOC O B-LOC O B-LOC"
