"text","label"
"Les commotions cérébrales sont devenu si courantes dans ce sport qu' on les considére presque comme la routine .","2 5 2 5 0 7 5 10 10 7 14 14 14 6 14 18 18 14 5"
"L' œuvre est située dans la galerie de les batailles , dans le château de Versailles .","2 4 4 0 7 7 4 10 10 7 14 14 14 4 16 14 4"
"Le comportement de la Turquie vis-à-vis de le problème palestinien a fait qu' elle n' est plus en odeur de sainteté auprès de la communauté juive en générale , et américaine en particulier .","2 12 5 5 2 2 9 9 6 9 12 0 19 19 19 19 19 19 12 21 19 19 25 25 22 25 25 27 31 31 26 31 32 12"
"Toutefois , les filles adorent les desserts .","5 1 4 5 0 7 5 5"
"Ismene entre et annonce que c' est Farnace qui a mis le feu à la flotte romaine .","2 0 4 2 8 8 8 4 11 11 8 13 11 16 16 11 16 2"
"je reviendrais avec plaisir !","2 0 4 2 2"
"Les forfaits comprennent le transport en car Grand Tourisme de les différents lieux de départs proposés autour de Lyon , le forfait de ski sur le domaine cité , un en-cas petit-déjeuner servi à votre arrivée en station et le service d' un accompagnateur salarié assurant la logistique de les départs et de les retours .","2 3 0 5 3 7 5 9 7 13 13 13 5 15 13 13 16 19 17 22 22 5 24 22 27 27 22 27 31 31 5 31 31 36 36 33 38 36 41 41 5 44 44 41 44 44 48 46 51 51 48 55 55 55 51 3"
"Il prévient que de telles agressions sont "" susceptibles d' entraîner des poursuites judiciaires "" .","2 0 9 6 6 9 9 9 2 11 9 13 11 13 9 2"
"Ils tiraient à balles réelles sur la foule .","2 0 4 2 4 8 8 2 2"
"Le château est ensuite vendu plusieurs fois ;","2 5 5 5 0 7 5 5"
"En effet , la biréfringence n' étant pas visible , elle n' est pas prépondérante sur le pouvoir rotatoire .","15 1 1 5 9 9 9 9 15 9 15 15 15 15 0 18 18 15 18 15"
"Le point final de la plate-forme de distribution serait basé en Autriche à Baumgarten pour rejoindre ensuite le réseau d' Europe centrale et de l' ouest .","2 10 2 6 6 2 8 6 10 0 12 10 14 10 16 10 16 19 16 21 19 21 26 26 26 22 10"
"L' information génétique est codée sous forme d' ADN .","2 5 2 5 0 7 5 9 7 5"
"Motivé par la charité chrétienne , la communauté a changé un vieil immeuble abanbonné où se pratiquaient d' ailleurs de nombreux échanges de drogues en ce logement sûr , propre et abordable qu' il est aujourd'hui .","10 4 4 1 4 1 8 10 10 0 13 13 10 13 17 17 13 17 18 22 22 17 24 22 27 27 10 27 30 28 32 28 27 33 33 33 10"
"Il exploitait un site de haute valeur militaire et commerciale comprenant un surplomb rocheux dominant en à-pic la rivière Oust .","2 0 4 2 7 7 4 7 10 8 4 13 11 13 13 17 15 19 15 19 2"
"Plus tard dans la saison , ils consomment beaucoup de baies et autres petits fruits .","2 8 5 5 2 2 8 0 8 11 9 15 15 15 11 8"
"Ils deviennent alors les Paladins , chevaliers de le bien chargés de défendre élèves et professeurs .","2 0 2 5 2 7 5 10 10 7 7 13 11 13 16 14 2"
"Le chevalier lui propose une partie d' échecs , espérant retarder l' échéance fatidique , le temps de trouver une solution à ses problèmes métaphysiques : Dieu existe -il ?","2 4 4 0 6 4 8 6 10 4 10 13 11 13 17 17 11 19 17 21 19 24 24 19 24 28 28 24 28 4"
"Créée à le cours de le troisième trimestre 1915 comme escadrille MF 93 , elle a disparu en même temps que la 30e Escadre de Chasse à laquelle elle était intégrée .","17 4 4 1 8 8 8 4 8 11 1 11 12 1 17 17 0 20 20 17 24 24 24 19 26 24 28 31 31 31 24 17"
"On ne peut éviter de penser à l' actualité caractérisée par l' enlèvement de les otages à le Niger -- dont cinq Français .","3 3 0 3 6 4 9 9 6 9 13 13 10 16 16 13 19 19 13 23 23 23 16 3"
"Elle est déjà soumise à rude épreuve avant même l' avènement de Flann Sinna .","4 4 4 0 7 7 4 11 11 11 4 13 11 13 4"
""" Malgré les efforts consentis par quelques pays , environ 155 millions de personnes -- soit 39 % de la population -- n' ont pas encore accès à l' eau potable en Afrique de l' Ouest et de le Centre "" , selon le texte .","24 4 4 24 4 8 8 5 4 11 12 24 14 12 18 18 18 12 21 21 18 18 24 0 24 25 24 30 30 27 30 33 24 36 36 33 40 40 40 36 24 45 45 45 24 24"
"La direction de les fibres est donc la direction de plus grande diffusivité , indiquée par le vecteur propre associé à la plus grande valeur propre de le tenseur de diffusion .","2 9 5 5 2 9 9 9 0 13 12 13 9 15 9 18 18 15 18 18 25 25 24 25 20 25 29 29 25 31 29 9"
"Les experts sont unanimes pour dater ce manuscrit de le VIe siècle .","2 4 4 0 6 4 8 6 12 12 12 8 4"
"Elle s' étend sur 105,3 km² et comptait 5633 habitants en 2010 .","3 3 0 6 6 3 8 3 10 8 12 8 3"
"L' affaire se complique un peu avec les jeux Super Nintendo ou d' autres systèmes , qui stockent les valeurs RVB absolues de les couleurs .","2 4 4 0 4 5 9 9 4 9 10 15 15 15 9 18 18 15 20 18 20 20 25 25 20 4"
"La cathédrale , l' une de les plus vastes églises de le monde arménien , est bâtie sur le modèle de la cathédrale d' Etchmiadzin : il s' agit d' une croix libre dotée de quatre absides .","2 17 5 5 2 10 10 9 10 5 13 13 10 13 5 17 0 20 20 17 23 23 20 25 23 29 29 29 20 32 32 29 32 32 37 37 34 17"
"ARF ( Application Roll-over Facility ) est un logiciel de haute disponibilité , fonctionnant sous AIX sur les machines Bull Escala ou Linux sur les serveurs Bull Novascale .","9 3 1 3 3 5 9 9 0 12 12 9 14 9 16 14 19 19 14 19 20 23 14 26 26 23 26 27 9"
"L' Abbé Othon y envoie Albéric accompagné de quelques moines .","2 5 2 5 0 5 6 10 10 7 5"
