"text0","text1","label"
"ツインタワーが建てられるまでどの位の時間がかかりましたか","11.0 年","1"
"ツインタワーが建てられるまでどの位の時間がかかりましたか","307.7 マイル","0"
"love you like there's no tomorrowを歌っているのは誰か","クリス・ヤング","1"
"love you like there's no tomorrowを歌っているのは誰か","ジョナサン・テイラー・トーマス","0"
"レイカーズが最後に優勝決定戦に進出できたのはいつですか","2013","1"
"レイカーズが最後に優勝決定戦に進出できたのはいつですか","2007","0"
"ストレンジャー・シングスは１シーズン何話ですか","3.0","1"
"ストレンジャー・シングスは１シーズン何話ですか","4.0","0"
"「 I hear you knocking」は誰が歌っていますか","デイヴ・エドモンズ","1"
"「 I hear you knocking」は誰が歌っていますか","シアトル・タコマ国際空港","0"
"テレビ番組のザ・ヴォイスを考案したのは誰ですか","ジョン デ モル","1"
"テレビ番組のザ・ヴォイスを考案したのは誰ですか","ルードン・ウェインライト3世","0"
"西部開拓時代の始まりと終わりはいつですか","1865","1"
"西部開拓時代の始まりと終わりはいつですか","1926-04-21","0"
"ラムズはいつスーパーボウルでプレーしましたか","1999","1"
"ラムズはいつスーパーボウルでプレーしましたか","2016-09","0"
"oh, what a nightは誰の歌？","フォー・シーズンズ","1"
"oh, what a nightは誰の歌？","ジャンヌ・カルマン","0"
"i want to be with you everywhereを歌ったのは誰ですか","フリートウッド・マック","1"
"i want to be with you everywhereを歌ったのは誰ですか","フォー・シーズンズ","0"
"jesus christ superstarでmary magdaleneを演じたのは誰","イヴォンヌ・エリマン","1"
"jesus christ superstarでmary magdaleneを演じたのは誰","チャド・ダンフォース","0"
"聖書にあるThe Book of Lamentationsを書いたのは誰ですか","エレミヤ","1"
"聖書にあるThe Book of Lamentationsを書いたのは誰ですか","ビル・クリントン","0"
"Instagramで最もフォロワーがある人は誰","クリスティアーノ・ロナウド","1"
"Instagramで最もフォロワーがある人は誰","大腸","0"
"The RoastはThe Officeのどのエピソードですか。","「ストレス緩和」","1"
"The RoastはThe Officeのどのエピソードですか。","フランクリン・ルーズベルト","0"
"世界で一番ピスタチオを生産しているのは誰ですか","イラン","1"
"世界で一番ピスタチオを生産しているのは誰ですか","ハードロックカフェ","0"
"アリゾナ・カージナルスのスタジアムの名前は","ユニバーシティ・オブ・フェニックス・スタジアム","1"
"アリゾナ・カージナルスのスタジアムの名前は","ローワー・メリオン高校","0"
"「愛はかげろうのように」を歌っているのは誰ですか？","シャーリーン","1"
"「愛はかげろうのように」を歌っているのは誰ですか？","ウラジーミル・レーニン","0"
"ロッキー山脈はいくつの州にまたがっていますか？","6.0","1"
"ロッキー山脈はいくつの州にまたがっていますか？","2.0","0"
"let's go all the wayは誰が歌った","Sly Fox","1"
"let's go all the wayは誰が歌った","セントルイス・ラムズ","0"
"2015年のアメリカズ・ゴット・タレントの優勝者は誰ですか","ポール・ザーディン","1"
"2015年のアメリカズ・ゴット・タレントの優勝者は誰ですか","ペンシルベニア州","0"
"ガール・スカウトの年齢制限は？","5.0 18.0 年","1"
"ガール・スカウトの年齢制限は？","69.0 ファーレンハイト度","0"
"スティーラーズが最後にパンサーズと戦ったのはいつ","2019-08-29","1"
"スティーラーズが最後にパンサーズと戦ったのはいつ","1940-10-21","0"
"カブスが最後にワールドシリーズを制したのはいつだったでしょうか？","2016","1"
"カブスが最後にワールドシリーズを制したのはいつだったでしょうか？","2015","0"
"マイケル・ジョーダンがNBAに入団したのはいつ？","1984","1"
"マイケル・ジョーダンがNBAに入団したのはいつ？","2021-01-03","0"
"憲法が最後に改正されたのはいつ","1992","1"
"憲法が最後に改正されたのはいつ","1974","0"
"雨に唄えばの登場人物は誰","ドナルド・オコーナー","1"
"雨に唄えばの登場人物は誰","オクタヴィア・スペンサー","0"
"標準的な貨物車はどのくらいの長さですか","55.0 67.0 フィート","1"
"標準的な貨物車はどのくらいの長さですか","13.0 パーセント","0"
"i'll make a man out of youを歌ったのは誰ですか","ダニー・オズモンド","1"
"i'll make a man out of youを歌ったのは誰ですか","アメリカ合衆国","0"
"トム・ブレイディはいつ最初のリングを獲得した","2002","1"
"トム・ブレイディはいつ最初のリングを獲得した","1984-01-20","0"
"W杯が開かれる予定なのはどこですか","カタール","1"
"W杯が開かれる予定なのはどこですか","ドン・マコーマック","0"
"Tweeniesに出てくるキャラクターたちの名前は何ですか","ジュディ 虹の彼方に","1"
"Tweeniesに出てくるキャラクターたちの名前は何ですか","ウイングス","0"
"「ブラック・パンサー」でブラック・パンサーを演じているのは誰？","チャドウィック・ボーズマン","1"
"「ブラック・パンサー」でブラック・パンサーを演じているのは誰？","ロサンゼルス","0"
"directvでcwは何チャンネル？","385.0","1"
"directvでcwは何チャンネル？","10889.0","0"
"the amazing world of gumballはいつ終わるの？","2019-06-24","1"
"the amazing world of gumballはいつ終わるの？","1971","0"
"what is love baby don't hurt meを歌ったのは誰ですか","ホワット・イズ・ラブ","1"
"what is love baby don't hurt meを歌ったのは誰ですか","ジェイ・レノ","0"
"アメリカ食品医薬品局に認可されている全ての手指消毒剤に入っている有効成分は何ですか","エタノール","1"
"アメリカ食品医薬品局に認可されている全ての手指消毒剤に入っている有効成分は何ですか","スプリームス","0"
"""Genie in a Bottle""が世に出たのは何時ですか？","1999","1"
"""Genie in a Bottle""が世に出たのは何時ですか？","1997-03-10","0"
"映画戦場にかける橋で主演したのは誰か","ウィリアム・ホールデン","1"
"映画戦場にかける橋で主演したのは誰か","ザッカリー ディーン ヘロン","0"
"円卓の騎士たちの名前は？","ガレス","1"
"円卓の騎士たちの名前は？","生物濃縮","0"
"lord it's hard to be humbleと歌っているのは誰","マック・デイビス","1"
"lord it's hard to be humbleと歌っているのは誰","ジェフリー・チョーサー","0"
"曲「テイク・ミー・トゥ・チャーチ」を歌ったのは誰？","ホージア (アルバム)","1"
"曲「テイク・ミー・トゥ・チャーチ」を歌ったのは誰？","L・ロン・ハバード","0"
"生存している最高齢の人は誰でしたか","ジャンヌ・カルマン","1"
"生存している最高齢の人は誰でしたか","硫黄","0"
"オーストラリアはクリケットのワールドカップで何回優勝しましたか","5.0","1"
"オーストラリアはクリケットのワールドカップで何回優勝しましたか","17.0","0"
"オールウェイズ・ラヴ・ユーを最初に歌ったのはドリー・パートンですかそれともホイットニー・ヒューストンですか","ポーター・ワゴナー","1"
"オールウェイズ・ラヴ・ユーを最初に歌ったのはドリー・パートンですかそれともホイットニー・ヒューストンですか","ヘビー級","0"
"アメリカ初の大統領の名前は？","ジョージ・ワシントン","1"
"アメリカ初の大統領の名前は？","Katara Hospitality","0"
"アニマル・ハウスに出てくる大学の名前は何","フェイバー大学","1"
"アニマル・ハウスに出てくる大学の名前は何","デール","0"
"映画バニシング in60の出演者は？","アンジェリーナ・ジョリー","1"
"映画バニシング in60の出演者は？","ティンバーライン・ロッジ","0"
"ギリシア神話のgod of the underworldは誰ですか","ハーデース","1"
"ギリシア神話のgod of the underworldは誰ですか","クラウス・バデルト","0"
"ドント・スマイル・アット・ミーがリリースされたのはいつですか","2017-08-11","1"
"ドント・スマイル・アット・ミーがリリースされたのはいつですか","2014","0"
"「メイベリー110番」でシャーリーン・ダーリンを演じていたのは誰ですか","マギー・ピーターソン","1"
"「メイベリー110番」でシャーリーン・ダーリンを演じていたのは誰ですか","ジーン・ステイプルトン","0"
"ニュージーランドで最も大きな湖は？","タウポ湖","1"
"ニュージーランドで最も大きな湖は？","スタイプ・ミオシッチ","0"
"スーサイド・スクワッドでハーレイ・クインを演じたのは誰ですか","マーゴット・ロビー","1"
"スーサイド・スクワッドでハーレイ・クインを演じたのは誰ですか","ウォルマート","0"
"メイン州の人口は何人ですか","1338000.0","1"
"メイン州の人口は何人ですか","9216.0","0"
"head of the classでtjを演じたのは誰","ビリー・コノリー","1"
"head of the classでtjを演じたのは誰","エドウィン・オルドリン","0"
"「ガーディアンズ・オブ・ギャラクシー」でピーター・クィルを演じたのは誰ですか？","クリス・プラット","1"
"「ガーディアンズ・オブ・ギャラクシー」でピーター・クィルを演じたのは誰ですか？","君のおかげで僕はとても幸せだ","0"
"samsung galaxy s6 edgeはいつリリースされましたか","2015-04-10","1"
"samsung galaxy s6 edgeはいつリリースされましたか","1975-06-20","0"
"100 オトナになったらできないこと　キャスト","ジャック・デ・セナ","1"
"100 オトナになったらできないこと　キャスト","山中伸弥","0"
"someone that i used to knowを歌っているのは誰ですか","ゴティエ","1"
"someone that i used to knowを歌っているのは誰ですか","アメリカ合衆国","0"
"独立戦争でアメリカはどこと戦いましたか？","グレートブリテン島","1"
"独立戦争でアメリカはどこと戦いましたか？","ゲオルク・ショルティ","0"
"「ベニーとジェッツ』はいつ発表されましたか","2000","1"
"「ベニーとジェッツ』はいつ発表されましたか","1833","0"
"i love the nightlifeを歌ったのは誰ですか","アリシア・ブリッジズ","1"
"i love the nightlifeを歌ったのは誰ですか","キウェテル・イジョフォー","0"
"オルレアンの少女として知られているのは誰？","ジャンヌ・ダルク","1"
"オルレアンの少女として知られているのは誰？","アニマルズ","0"
"1マイル4分の壁を初めて破ったのは誰？","ロジャー・バニスター","1"
"1マイル4分の壁を初めて破ったのは誰？","リチャード・ブーン","0"
"i've got spurs that jingle jangle jingleは誰の曲","ジーン・オートリー","1"
"i've got spurs that jingle jangle jingleは誰の曲","クリスティアーノ・ロナウド","0"
"ベトナム戦争の最初の戦いは何だったでしょう？","イア・ドラン渓谷の戦い","1"
"ベトナム戦争の最初の戦いは何だったでしょう？","ミッドウェー島","0"
"今年のスーパーボウルでプレイした選手は誰？","セントルイス・ラムズ","1"
"今年のスーパーボウルでプレイした選手は誰？","ロバート・ザ・モンク","0"
"アメリカの現職の軍医総監は誰ですか。","ジェローム・アダムズ","1"
"アメリカの現職の軍医総監は誰ですか。","フランクリン・ルーズベルト","0"
"映画ブレードランナーでレイチェルを演じていたのは誰ですか？","ショーン・ヤング","1"
"映画ブレードランナーでレイチェルを演じていたのは誰ですか？","AC/DC","0"
"アメリカ合衆国で最も長い橋はどこにあるでしょう？","ポンチャートレイン湖","1"
"アメリカ合衆国で最も長い橋はどこにあるでしょう？","膵癌","0"
"父の日を思いついた人は誰","ソノラ・スマート・ドッド","1"
"父の日を思いついた人は誰","ジョン・ハンコック","0"
"苗字Guzmanの由来はどこですか。","スペイン","1"
"苗字Guzmanの由来はどこですか。","クリス・クリストファーソン","0"
"please don't goという曲は誰が歌ったか","KC&ザ・サンシャイン・バンド","1"
"please don't goという曲は誰が歌ったか","コール・ポーター","0"
"1ゲームで最長ヤード記録保持ラッシャーは誰？","エイドリアン・ピーターソン","1"
"1ゲームで最長ヤード記録保持ラッシャーは誰？","ディスターブド","0"
"youtubeで世界一視聴されているのは誰ですか。","Tシリーズ","1"
"youtubeで世界一視聴されているのは誰ですか。","キアヌ・リーブス","0"
"ポーカーのフルハウスはストレートよりも強いか","yes","1"
"ポーカーのフルハウスはストレートよりも強いか","no","0"
"ピッツバーグ・パイレーツの試合はどのラジオ局で放送されますか","KDKA-FM","1"
"ピッツバーグ・パイレーツの試合はどのラジオ局で放送されますか","フォー・シーズンズ","0"
"take a look at me nowを歌っているのは誰か","フィル・コリンズ","1"
"take a look at me nowを歌っているのは誰か","ジョン・ベイレイン","0"
"Back in the High Life Againを歌っているのは誰ですか。","スティーヴ・ウィンウッド","1"
"Back in the High Life Againを歌っているのは誰ですか。","ロン・ハワード","0"
"「going to the chapel and we're gonna get married」の歌詞の歌を歌っている人は誰ですか。","ディキシー・カップス","1"
"「going to the chapel and we're gonna get married」の歌詞の歌を歌っている人は誰ですか。","ヘカテー","0"
"星条旗は何から出来ている？","ナイロン","1"
"星条旗は何から出来ている？","ニコール・シャージンガー","0"
"come together right now over meは誰が歌った","ビートルズ","1"
"come together right now over meは誰が歌った","ジョン・ジェイ","0"
"Arrowで主人公を演じている俳優は誰？","ケイティ・キャシディ","1"
"Arrowで主人公を演じている俳優は誰？","ダニー・ロイド","0"
"大リーグの最高記録を持っているのは誰か","ニューヨーク・ヤンキース","1"
"大リーグの最高記録を持っているのは誰か","カリフォルニア州","0"
"beauty and the beastでbelleの役を演じているのは誰？","エマ・ワトソン","1"
"beauty and the beastでbelleの役を演じているのは誰？","シアカーン","0"
"while my guitar gently weepsはいつに書かれたか","1968","1"
"while my guitar gently weepsはいつに書かれたか","1997-07-25","0"
"fox on the runの歌手は誰","スウィート","1"
"fox on the runの歌手は誰","南スーダン","0"
