"text","label"
"Saxifrage faux Orpin","B-LOC I-LOC I-LOC"
"REDIRECTION The Lady of Rage","O B-PER I-PER I-PER I-PER"
"Parti libéral du Québec","B-ORG I-ORG I-ORG I-ORG"
"Après deux nuls ( Guingamp et Amiens ) et deux défaites ( Charleroi et Lokeren ) , les hommes Antoine Kombouaré se reprennent et remportent leurs deux dernières confrontations contre UNFP et Sedan .","O O O O B-ORG O B-ORG O O O O O B-ORG O B-ORG O O O O B-PER I-PER O O O O O O O O O B-ORG O B-ORG O"
"Ernst Vettori Richard Schallert Franz Neuländtner Andreas Felder","B-PER I-PER B-PER I-PER B-PER I-PER B-PER I-PER"
"Comté de Motley","B-LOC I-LOC I-LOC"
"Ángel David Rodríguez","B-PER I-PER I-PER"
"==== La Cour constitutionnelle ====","O O B-ORG I-ORG O"
"** Nip / Tuck ''","O B-ORG I-ORG I-ORG O"
"Il utilise des baguettes Pro-Mark ( dont il possède un modèle ''Signature ) .","O O O O B-ORG O O O O O O O O O"
"REDIRECTION Luis Marín Barahona","O B-PER I-PER I-PER"
"Loubieng au nord-ouest ;","B-LOC O O O"
"Comté de Los Angeles","B-LOC I-LOC I-LOC I-LOC"
"Admiral T feat .","B-PER I-PER O O"
"2014 , à Amsterdam ( )","B-ORG O O B-LOC O O"
"REDIRECTION Le Lynx ( journal )","O B-ORG I-ORG I-ORG I-ORG I-ORG"
"Lone Wolf and Cub ''","B-ORG I-ORG I-ORG I-ORG O"
"Oregon ( groupe )","B-ORG I-ORG I-ORG I-ORG"
"Autoroute A29 ( France )","B-ORG I-ORG I-ORG I-ORG I-ORG"
"' '' Domenico Pozzovivo '' '","O O B-PER I-PER O O"
"Alexander von Middendorff","B-PER I-PER I-PER"
"Liste des communes de l'Isère","B-LOC I-LOC I-LOC I-LOC I-LOC"
"Subdivisions de la République de Macédoine","B-LOC I-LOC I-LOC I-LOC I-LOC I-LOC"
"' '' Hanwha Eagles '' '","O O B-ORG I-ORG O O"
"On rencontre des populations en Bolivie , au Pérou et au Brésil .","O O O O O B-LOC O O B-LOC O O B-LOC O"
"' '' Edward R. Murrow '' '","O O B-PER I-PER I-PER O O"
"Louis-Mathias de Barral","B-PER I-PER I-PER"
"Oak Ridge ( Tennessee )","B-LOC I-LOC I-LOC I-LOC I-LOC"
"REDIRECTION Train of Thought ( album de Reflection Eternal )","O B-ORG I-ORG I-ORG I-ORG I-ORG I-ORG I-ORG I-ORG I-ORG"
"Goujon ( poisson )","B-LOC I-LOC I-LOC I-LOC"
"À Tratalias se trouve l'ancienne et à Sant'Antioco la .","O B-LOC O O O O O B-LOC O O"
"La Salle]] , Senozan , Sologny , Verzé , Viré .","O O O B-LOC O B-LOC O B-LOC O B-LOC O"
"Liste des communes de la Corrèze","B-LOC I-LOC I-LOC I-LOC I-LOC I-LOC"
"' '' MV Agusta '' '","O O B-ORG I-ORG O O"
"La Directive-cadre sur l'eau ( D.C.E .","O B-ORG I-ORG I-ORG O O O"
"' '' 14 '' ' Václav Pilař","O O O O O B-PER I-PER"
"On le retrouve surtout en Espagne , au Portugal et en Tunisie .","O O O O O B-LOC O O B-LOC O O B-LOC O"
"' '' Aprilia '' '","O O B-ORG O O"
"Lee Janzen ( 2 / 2 )","B-PER I-PER O O O O O"
"Construit par Tōgo Murano ; pour l'industriel","O O B-PER I-PER O O O"
"' '' Jules Cluzel '' '","O O B-PER I-PER O O"
"C'est aussi lui qui accueille officiellement Condoleezza Rice quand elle visite le pays .","O O O O O O B-PER I-PER O O O O O O"
"''Zéro défaut '' ( 1998 )","O O O O B-ORG O"
"Reichenbach ( Haute-Lusace )","B-LOC I-LOC I-LOC I-LOC"
"' '' SV Stuttgarter Kickers '' ' ' '' ' ''","O O B-ORG I-ORG I-ORG O O O O O O"
"Lubmin ( )","B-LOC O O"
"Meuse]] - Canal Albert ''","O O B-LOC I-LOC O"
"' '' Casey Stengel '' '","O O B-PER I-PER O O"
"Il vit et travaille à Rome .","O O O O O B-LOC O"
"Christophe Willem chante ''L'été en hiver ''","B-PER I-PER O O O O O"
"'' Sainte Philomène '' .","O B-PER I-PER O O"
"Liste des communes de la Loire-Atlantique","B-LOC I-LOC I-LOC I-LOC I-LOC I-LOC"
"Les Lacs-du-Témiscamingue , territoire non organisé","B-LOC I-LOC O O O O"
"Sélectionné à 58 reprises pour quatre buts inscrits en équipe nationale , il dispute avec celle-ci la Coupe du monde 1982 .","O O O O O O O O O B-ORG I-ORG O O O O O O B-ORG I-ORG I-ORG I-ORG O"
"Liste des communes de l'Essonne","B-LOC I-LOC I-LOC I-LOC I-LOC"
"' '' Thomas Lüthi '' '","O O B-PER I-PER O O"
"' '' Felix Gottwald '' '","O O B-PER I-PER O O"
"Au , certains architectes occidentaux , par exemple Eugène Viollet-le-Duc , s'attachent fortement à l'aspect constructif .","O O O O O O O O B-PER I-PER O O O O O O O"
"REDIRECTION Secrets de famille ( série télévisée )","O B-ORG I-ORG I-ORG I-ORG I-ORG I-ORG I-ORG"
"Théodore Ier Lascaris","B-PER I-PER I-PER"
"Il mesure 1,98 m et joue pour le FC Barcelone .","O O O O O O O O B-ORG I-ORG O"
"Antonio Caggiano ( 1946-1979 )","B-PER I-PER O O O"
"' '' Aprilia '' '","O O B-ORG O O"
"Rey Mysterio bat .","B-PER I-PER O O"
"Il y côtoie des élus prestigieux comme Emmanuel d'Astier de la Vigerie ou Pierre Cot .","O O O O O O O B-PER I-PER I-PER I-PER I-PER O B-PER I-PER O"
"Sanche IV de Castille","B-PER I-PER I-PER I-PER"
"** Zachary Levi pour Chuck ''","O B-PER I-PER O B-ORG O"
"Johnny Giles prend sa suite en tant que sélectionneur-joueur .","B-PER I-PER O O O O O O O O"
"' '' Standard de Liège '' '","O O B-ORG I-ORG I-ORG O O"
"François Bernier ( philosophe )","B-PER I-PER I-PER I-PER I-PER"
"Son corps est retrouvé dans le Danube le .","O O O O O O B-LOC O O"
"' '' Masao Shimizu '' '","O O B-PER I-PER O O"
"Happy Tree Friends ''","B-ORG I-ORG I-ORG O"
"Taura ( 2.611 )","B-LOC O O O"
"' '' Žalgiris Kaunas '' '","O O B-ORG I-ORG O O"
"D'autres compositeurs , comme Liszt et Ravel , en ont également eu un .","O O O O B-PER O B-PER O O O O O O O"
"Ministère de l'Éducation nationale","B-ORG I-ORG I-ORG I-ORG"
"Karenn sur Resident Advisor","O O B-ORG I-ORG"
"Liste des cantons de la Guadeloupe","B-LOC I-LOC I-LOC I-LOC I-LOC I-LOC"
"élection eut lieu le 17 septembre 1879 .","B-ORG I-ORG I-ORG I-ORG I-ORG I-ORG I-ORG O"
"' '' Galina Kulakova '' '","O O B-PER I-PER O O"
"Memmingen - Füssen ( D )","B-LOC O B-LOC O O O"
"Il est situé dans les Alpes dinariques .","O O O O O B-LOC I-LOC O"
"' '' Jenson Button '' '","O O B-PER I-PER O O"
"23 Alex Job Racing","O B-ORG I-ORG I-ORG"
"Le climat est océanique avec des étés tempérés .","O O O B-LOC O O O O O"
"Il vit et travaille à Paris et en Grèce .","O O O O O B-LOC O O B-LOC O"
"Depuis la cinquième saison , les saisons des ''Simpson '' ne sortent plus en coffret VHS .","O O B-ORG I-ORG O O O O O O O O O O O B-PER O"
"L'ancienne cathédrale Saint-Joseph Antigua Guatemala .","O B-ORG I-ORG B-LOC I-LOC O"
"Éric Bernard Aguri Suzuki Bertrand Gachot","B-PER I-PER B-PER I-PER B-PER I-PER"
"Chorégraphie des services web WS-*","B-ORG I-ORG I-ORG I-ORG I-ORG"
"' '' Manchester City '' '","B-ORG I-ORG I-ORG I-ORG I-ORG B-ORG"
"REDIRECTION Symphonie nº 6 de Beethoven","O B-ORG I-ORG I-ORG I-ORG I-ORG"
"Je n'ai que mon âme ''","B-ORG I-ORG I-ORG I-ORG I-ORG O"
"Hergest Ridge '' ( extrait )","B-ORG I-ORG O O O O"
"I Can See for Miles '' – 4:17","B-ORG I-ORG I-ORG I-ORG I-ORG O O O"
"Équipe d'Espagne de football","B-ORG I-ORG I-ORG I-ORG"
"' '' Stanisław Czaykowski '' '","O O B-PER I-PER O O"
"District de Baota","B-LOC I-LOC I-LOC"
"Il est destiné aux ‘Indes Orientales’ c'est-à-dire le Nouveau Monde .","O O O O O O O O B-LOC I-LOC O"
"Plusieurs personnalités et artistes noirs fréquentent ses parents , dont Dizzy Gillespie , Miles Davis , Chuck Berry , W. E. B. Du Bois , ou encore Joséphine Baker .","O O O O O O O O O O B-PER I-PER O B-PER I-PER O B-PER I-PER O B-PER I-PER I-PER I-PER I-PER O O O B-PER I-PER O"
"' '' All Japan Pro Wrestling '' '","O O B-ORG I-ORG I-ORG I-ORG O O"
"Aftermath Entertainment , label créé par Dr. Dre ;","B-ORG I-ORG O B-ORG O O B-PER I-PER O"
"Le rôle-titre est , dans cette nouvelle version , tenu par Rutger Hauer .","O O O O O O O O O O O B-PER I-PER O"
"Hombourg]] , Niffer , Ottmarsheim , Petit-Landau , Riedisheim , Rixheim , Sausheim .","O O B-LOC O B-LOC O B-LOC O B-LOC O B-LOC O B-LOC O"
"Comté de Washtenaw","B-LOC I-LOC I-LOC"
"' '' Daijiro Kato '' '","O O B-PER I-PER O O"
"Force aérienne grecque","B-ORG I-ORG I-ORG"
"Bureau international de la paix","B-ORG I-ORG I-ORG I-ORG I-ORG"
"' '' Anders Jacobsen '' '","O O B-PER I-PER O O"
"Théories d'une vitesse de lumière variable","B-ORG I-ORG I-ORG I-ORG I-ORG I-ORG"
"Liste des ducs de Montmorency","B-PER I-PER I-PER I-PER I-PER"
"' '' Axelle Lemaire '' '","O O B-PER I-PER O O"
"' '' Reggiane '' '","O O B-ORG O O"
"El Biar - Ben Aknoun - Dely Ibrahim - Ouled Fayet - Baba Hassen - Douera - Tessala El Merdja","B-LOC I-LOC O B-LOC I-LOC O B-LOC I-LOC O B-LOC I-LOC O B-LOC I-LOC O B-LOC O B-LOC I-LOC I-LOC"
"' '' temps intermédiaire '' Amboise ( )","O O O O O B-LOC O O"
"' '' Sharon Walsh Valerie Ziegenfuss '' '","O O B-PER I-PER B-PER I-PER O O"
"Honest , braqueurs de père en fils ''","B-PER I-PER I-PER I-PER I-PER I-PER I-PER O"
"François-Joseph Navez ( 1787-1869 )","B-PER I-PER O O O"
"Championnat de Gambie de football","B-ORG I-ORG I-ORG I-ORG I-ORG"
"Boro ( 1 300 habitants )","B-LOC O O O O O"
"Selon Antiochos de Syracuse ( fgt .","O B-PER I-PER I-PER O O O"
"Aha v.-3080 / -v.3055","B-PER O O O"
"Canal de la Basse Colme","B-ORG I-ORG I-ORG I-ORG I-ORG"
"Les établissements d'enseignement supérieurs anglophones les plus proches sont à Fredericton ou Miramichi .","O O O O O O O O O O B-LOC O B-LOC O"
"' '' Néfertiti '' ' '' , Pascal Parisot","O O B-PER O O O O B-PER I-PER"
"REDIRECTION Procédure d'adhésion de la Turquie à l'Union européenne","O B-ORG I-ORG I-ORG I-ORG I-ORG I-ORG I-ORG I-ORG"
"Arrondissement du Palatinat-Sud-Ouest","B-LOC I-LOC I-LOC"
"La finale se déroule aux Lillie Bridge Grounds le contre Oxford University Association Football Club .","O O O O O B-LOC I-LOC I-LOC O O B-ORG I-ORG I-ORG I-ORG I-ORG O"
"Stade de Gerland , Lyon , France","B-ORG I-ORG I-ORG O B-LOC O B-LOC"
"' '' Phil Mahre '' '","O O B-PER I-PER O O"
"' '' Yamaha '' '","O O B-ORG O O"
"JBL incendie la voiture dans laquelle se trouve John Cena .","B-PER O O O O O O O B-PER I-PER O"
"Le Président peut dissoudre l'Assemblée et renvoyer le gouvernement .","O O O O O O O O B-ORG O"
"Liste des souverains de Bohême","B-PER I-PER I-PER I-PER I-PER"
"Éclipse solaire du 2 août 2027","B-ORG I-ORG I-ORG I-ORG I-ORG I-ORG"
"' '' Modenas '' '","O O B-ORG O O"
"JO 1928 ( 1 match )","B-ORG I-ORG O O O O"
"David Bowie ( album )","B-ORG I-ORG I-ORG I-ORG I-ORG"
"REDIRECTION Bataille d'Arlon ( 1793 )","O B-ORG I-ORG I-ORG I-ORG I-ORG"
"** église Santa Maria di Castello","O B-ORG I-ORG I-ORG I-ORG I-ORG"
"''Ejection '' ( Calvert ) – 4:29","O O O B-PER O O O"
"Stade Robert-Diochon ( Le Petit-Quevilly )","B-ORG I-ORG O B-LOC I-LOC O"
"' '' Championnat de Tunisie de football ( 3 ) ' ''","O O B-ORG I-ORG I-ORG I-ORG I-ORG O O O O O"
"Sénat ( Belgique )","B-ORG I-ORG I-ORG I-ORG"
"' '' Honda '' '","O O B-ORG O O"
