"text0","text1","label"
"cuanto tardaron en construirse las torres gemelas","11.0 año terrestre","1"
"cuanto tardaron en construirse las torres gemelas","307.7 milla","0"
"quién canta love you like there's no tomorrow","Chris Young","1"
"quién canta love you like there's no tomorrow","Jonathan Taylor Thomas","0"
"cuando fue la última vez que los lakers llegaron a los playoffs","2013","1"
"cuando fue la última vez que los lakers llegaron a los playoffs","2007","0"
"¿cuántos episodios tiene una temporada de ""stranger things""?","3.0","1"
"¿cuántos episodios tiene una temporada de ""stranger things""?","4.0","0"
"quien canta ""i hear you knocking but you can't come in""","Dave Edmunds","1"
"quien canta ""i hear you knocking but you can't come in""","Aeropuerto Internacional de Seattle-Tacoma","0"
"a quien se le ocurrió el programa la voz","John de Mol","1"
"a quien se le ocurrió el programa la voz","Loudon Wainwright III","0"
"cuando empezó y acabó el viejo oeste","1865","1"
"cuando empezó y acabó el viejo oeste","1926-04-21","0"
"cuándo jugaron los rams la super bowl","1999","1"
"cuándo jugaron los rams la super bowl","2016-09","0"
"¿Quién cantó la canción Oh, What a Night?","The Four Seasons","1"
"¿Quién cantó la canción Oh, What a Night?","Jeanne Calment","0"
"¿Quuien cantó i want to be with you everywhere?","Fleetwood Mac","1"
"¿Quuien cantó i want to be with you everywhere?","The Four Seasons","0"
"quién interpretó a maría magdalena en jesucristo superstar","Yvonne Elliman","1"
"quién interpretó a maría magdalena en jesucristo superstar","Chad Danforth","0"
"quien escribió el libro de las lamentaciones en la biblia","Jeremías","1"
"quien escribió el libro de las lamentaciones en la biblia","Bill Clinton","0"
"¿Quién tiene más seguidores de Instagram en Instagram?","Cristiano Ronaldo","1"
"¿Quién tiene más seguidores de Instagram en Instagram?","intestino grueso","0"
"¿Cual es el episidio del roast de The Office?","Stress Relief","1"
"¿Cual es el episidio del roast de The Office?","Franklin D. Roosevelt","0"
"¿Quién produce la mayor cantidad de pistachos del mundo?","Irán","1"
"¿Quién produce la mayor cantidad de pistachos del mundo?","Hard Rock Cafe","0"
"¿Cuál es el nombre del estadio de los Arizona Cardinals?","State Farm Stadium","1"
"¿Cuál es el nombre del estadio de los Arizona Cardinals?","Lower Merion High School","0"
"¿quién cantaba ""i've never been to me""?","Charlene","1"
"¿quién cantaba ""i've never been to me""?","Lenin","0"
"Cuántos estados cubre las Montañas Rocosas","6.0","1"
"Cuántos estados cubre las Montañas Rocosas","2.0","0"
"quien cantaba let's go all the way","Sly Fox","1"
"quien cantaba let's go all the way","Los Angeles Rams","0"
"quien ganó got talent america en 2015","Paul Zerdin","1"
