"text0","text1","label"
"combien de temps a-t-il fallu pour construire les tours jumelles","11.0 années","1"
"combien de temps a-t-il fallu pour construire les tours jumelles","307.7 mille","0"
"Qui interprète la chanson Love you like there's no tomorrow","Chris Young","1"
"Qui interprète la chanson Love you like there's no tomorrow","Jonathan Taylor Thomas","0"
"Quand est-ce que les Lakers ont fait les playoffs la dernière fois","2013","1"
"Quand est-ce que les Lakers ont fait les playoffs la dernière fois","2007","0"
"Combien d'épisode dans une saison de Stranger things","3.0","1"
"Combien d'épisode dans une saison de Stranger things","4.0","0"
"Qui chante ""I hear you knocking but you can't come in""","Dave Edmunds","1"
"Qui chante ""I hear you knocking but you can't come in""","aéroport international de Seattle-Tacoma","0"
"Qui a commencé la série Voice TV?","John de Mol","1"
"Qui a commencé la série Voice TV?","Loudon Wainwright III","0"
"quand est-ce qu'a commencé et s'est conclut l'ouest sauvage","1865","1"
"quand est-ce qu'a commencé et s'est conclut l'ouest sauvage","1926-04-21","0"
"quand est-ce que les Rams ont joué dans la Super Bowl","1999","1"
"quand est-ce que les Rams ont joué dans la Super Bowl","2016-09","0"
"Qui a chanté la chanson Oh what a night","The Four Seasons","1"
"Qui a chanté la chanson Oh what a night","Jeanne Calment","0"
"Qui a chanté "" i want to be with you everywhere"" ?","Fleetwood Mac","1"
"Qui a chanté "" i want to be with you everywhere"" ?","The Four Seasons","0"
"qui joue marie madeleine dans jésus christ superstar","Yvonne Elliman","1"
"qui joue marie madeleine dans jésus christ superstar","Chad Danforth","0"
"Qui a écrit le livre des Lamentations dans la Bible?","Jérémie","1"
"Qui a écrit le livre des Lamentations dans la Bible?","Bill Clinton","0"
"qui a le plus de followers sur instagram","Cristiano Ronaldo","1"
"qui a le plus de followers sur instagram","gros intestin","0"
"quel épisode de the office est le roast","Soulagement du stress","1"
"quel épisode de the office est le roast","Franklin Delano Roosevelt","0"
"Qui produit le plus de pistaches dans le monde","Iran","1"
"Qui produit le plus de pistaches dans le monde","Hard Rock Cafe","0"
"quel est le nom du stade des arizona cardinals","University of Phoenix Stadium","1"
"quel est le nom du stade des arizona cardinals","Lower Merion High School","0"
"qui a chanté i've never been to me","Charlene","1"
"qui a chanté i've never been to me","Lénine","0"
"Dans combien d'états s'étendent les Montagnes Rocheuses ?","6.0","1"
"Dans combien d'états s'étendent les Montagnes Rocheuses ?","2.0","0"
"qui a chanté let's go all the way","Sly Fox","1"
"qui a chanté let's go all the way","Rams de Los Angeles","0"
"qui a gagné america's got talent en 2015","Paul Zerdin","1"
"qui a gagné america's got talent en 2015","Pennsylvanie","0"
"quel est l'âge limite pour les Girl Scouts","5.0 18.0 années","1"
"quel est l'âge limite pour les Girl Scouts","69.0 échelle Fahrenheit","0"
"quand les steelers ont-ils joué contre les panthers pour la dernière fois","2019-08-29","1"
"quand les steelers ont-ils joué contre les panthers pour la dernière fois","1940-10-21","0"
"quand les cubs ont-ils gagné la série mondiale pour la dernière fois","2016","1"
"quand les cubs ont-ils gagné la série mondiale pour la dernière fois","2015","0"
"quand michael jordan fut enrôlé à la nba","1984","1"
"quand michael jordan fut enrôlé à la nba","2021-01-03","0"
"quand est la dernière modification de la constitution","1992","1"
"quand est la dernière modification de la constitution","1974","0"
"qui étaient les personnages dans chantons sous la pluie","Donald O'Connor","1"
"qui étaient les personnages dans chantons sous la pluie","Octavia Spencer","0"
"en moyenne quelle longueur a le wagon de train de marchandises","55.0 67.0 pied","1"
"en moyenne quelle longueur a le wagon de train de marchandises","13.0 pourcentage","0"
"qui chante i'll make a man out of you","Donny Osmond","1"
"qui chante i'll make a man out of you","États-Unis","0"
"quand tom brady a-t'il gagné sa première bague","2002","1"
"quand tom brady a-t'il gagné sa première bague","1984-01-20","0"
"où va se dérouler la coupe du monde","Qatar","1"
"où va se dérouler la coupe du monde","Don McCormack","0"
"Comment s’appellent les personnages des Tweenies ?","Judy","1"
"Comment s’appellent les personnages des Tweenies ?","Wings","0"
"Qui joue Panthère noire dans le film Black Panther","Chadwick Boseman","1"
"Qui joue Panthère noire dans le film Black Panther","Los Angeles","0"
"quel est la chaine de cw sur directv","385.0","1"
"quel est la chaine de cw sur directv","10889.0","0"
"Quand finit Le Monde Incroyable de Gumball","2019-06-24","1"
"Quand finit Le Monde Incroyable de Gumball","1971","0"
"qui a chanté what is love baby don't hurt me","Haddaway","1"
"qui a chanté what is love baby don't hurt me","Jay Leno","0"
"Quel est l'ingrédient actif présent dans tous les désinfectants pour mains approuvés par la FDA","éthanol","1"
"Quel est l'ingrédient actif présent dans tous les désinfectants pour mains approuvés par la FDA","The Supremes","0"
"quand genie in a bottle est sorti","1999","1"
"quand genie in a bottle est sorti","1997-03-10","0"
"Qui était la vedette dans le film Pont de la rivière Kwaï","William Holden","1"
"Qui était la vedette dans le film Pont de la rivière Kwaï","Zachary Dean Herron","0"
"Quels étaient les noms de Chevaliers de la Table Ronde","Gareth","1"
